 Date Time CO OZ NO2 NO
 13.10.12 00:00 0.05 0.06 0.17 0.02
 -------- 01:00 0.04 0.08 0.16 0.02
 -------- 02:00 0.04 0.09 0.14 0.01
 -------- 03:00 0.04 0.09 0.13 0.02
 -------- 04:00 0.05 0.09 0.12 0.02
 13.10.12 05:00 0.06 0.08 0.11 0.03
 -------- 06:00 0.06 0.07 0.14 0.03
 -------- 07:00 0.07 0.05 0.16 0.05
 -------- 08:00 0.10 0.03 0.17 0.05
 -------- 09:00 0.09 0.04 0.17 0.06
 13.10.12 10:00 0.12 0.05 0.19 0.08
 -------- 11:00 0.13 0.07 0.20 0.09
 -------- 12:00 0.11 0.08 0.18 0.08
 -------- 13:00 0.09 0.11 0.13 0.05
 -------- 14:00 0.10 0.11 0.13 0.06
 13.10.12 15:00 0.09 0.14 0.14 0.06
 -------- 16:00 0.10 0.12 0.16 0.06
 -------- 17:00 0.10 0.09 0.18 0.07
 -------- 18:00 0.11 0.08 0.21 0.06
 -------- 19:00 0.17 0.03 0.26 0.13
 13.10.12 20:00 0.20 0.01 0.28 0.18
 -------- 21:00 0.17 0.01 0.29 0.13
 -------- 22:00 0.17 0.01 0.28 0.10
 -------- 23:00 0.21 0.01 0.29 0.16
 -------- 00:00 0.17 0.01 0.27 0.12
 14.10.12 01:00 0.15 0.01 0.26 0.13
 -------- 02:00 0.12 0.01 0.22 0.09
 -------- 03:00 0.13 0.01 0.22 0.14
 -------- 04:00 0.12 0.01 0.20 0.12
 -------- 05:00 0.15 0.01 0.20 0.17
 14.10.12 06:00 0.10 0.01 0.20 0.15
 -------- 07:00 0.13 0.01 0.19 0.14
 -------- 08:00 0.17 0.01 0.19 0.18
 -------- 09:00 0.25 0.01 0.23 0.25
 -------- 10:00 0.42 0.01 0.29 0.28
 14.10.12 11:00 0.15 0.04 0.26 0.11
 -------- 12:00 0.13 0.06 0.26 0.12
 -------- 13:00 0.13 0.09 0.21 0.08
 -------- 14:00 0.13 0.10 0.21 0.08
 -------- 15:00 0.15 0.06 0.26 0.09
 14.10.12 16:00 0.14 0.05 0.27 0.09
 -------- 17:00 0.14 0.02 0.29 0.09
 -------- 18:00 0.16 0.01 0.29 0.09
 -------- 19:00 0.18 0.01 0.30 0.13
 -------- 20:00 0.24 0.01 0.30 0.18
 14.10.12 21:00 0.35 0.01 0.35 0.33
 -------- 22:00 0.28 0.01 0.31 0.25
 -------- 23:00 0.24 0.01 0.28 0.08
