 Date Time CO OZ NO2 NO
 16.10.12 12:00 0.12 0.01 0.26 0.13
 -------- 13:00 0.13 0.01 0.26 0.14
 -------- 14:00 0.13 0.01 0.26 0.14
 -------- 15:00 0.12 0.01 0.24 0.12
 -------- 16:00 0.11 0.01 0.24 0.12
 16.10.12 17:00 0.11 0.01 0.26 0.15
 -------- 18:00 0.10 0.01 0.24 0.14
 -------- 19:00 0.12 0.01 0.23 0.13
 -------- 20:00 0.11 0.01 0.23 0.13
 -------- 21:00 0.09 0.01 0.23 0.13
 16.10.12 22:00 0.09 ---- 0.21 0.10
 -------- 23:00 0.09 0.01 0.21 0.10
 -------- 00:00 0.09 0.01 0.20 0.12
 -------- 01:00 0.08 0.01 0.18 0.09
 -------- 02:00 0.11 0.01 0.17 0.08
 17.10.12 03:00 0.09 0.01 0.17 0.08
 -------- 04:00 0.07 0.01 0.15 0.06
 -------- 05:00 0.07 0.01 0.15 0.07
 -------- 06:00 0.06 0.01 0.14 0.06
 -------- 07:00 0.09 ---- 0.14 0.08
 17.10.12 08:00 0.13 ---- 0.13 0.13
 -------- 09:00 0.14 0.01 0.13 0.16
 -------- 10:00 0.13 0.01 0.14 0.16
 -------- 11:00 0.14 0.01 0.15 0.15
 -------- 12:00 0.13 0.01 0.16 0.19
 17.10.12 13:00 0.13 0.01 0.18 0.21
 -------- 14:00 0.13 0.01 0.19 0.21
 -------- 15:00 0.12 0.01 0.21 0.18
 -------- 16:00 0.10 0.01 0.24 0.10
 -------- 17:00 0.11 0.01 0.27 0.12
 17.10.12 18:00 0.14 0.01 0.28 0.14
 -------- 19:00 0.12 0.01 0.25 0.10
 -------- 20:00 0.08 ---- 0.20 0.09
 -------- 21:00 0.09 0.01 0.19 0.10
 -------- 22:00 0.11 ---- 0.20 0.11
 17.10.12 23:00 0.12 0.01 0.21 0.10
 -------- 00:00 0.09 ---- 0.22 0.08
 -------- 01:00 0.08 ---- 0.22 0.08
 -------- 02:00 0.08 ---- 0.22 0.06
 -------- 03:00 0.08 0.01 0.22 0.08
 18.10.12 04:00 0.08 ---- 0.21 0.09
 -------- 05:00 0.11 ---- 0.21 0.15
 -------- 06:00 0.11 0.01 0.19 0.12
 -------- 07:00 0.13 ---- 0.21 0.24
 -------- 08:00 0.34 0.01 0.22 0.28
 18.10.12 09:00 0.53 ---- 0.28 0.61
 -------- 10:00 0.55 0.01 0.38 0.88
 -------- 11:00 0.12 0.01 0.18 0.13
