 Date Time OZ NO2 NO
 03.10.12 12:00 0.01 0.27 0.14
 -------- 13:00 0.01 0.28 0.22
 -------- 14:00 0.01 0.26 0.18
 -------- 15:00 0.01 0.24 0.12
 -------- 16:00 0.01 0.25 0.14
 03.10.12 17:00 0.01 0.28 0.23
 -------- 18:00 ---- 0.26 0.17
 -------- 19:00 0.01 0.25 0.21
 -------- 20:00 0.01 0.25 0.22
 -------- 21:00 0.01 0.24 0.21
 03.10.12 22:00 0.01 0.24 0.17
 -------- 23:00 0.01 0.24 0.24
 -------- 00:00 0.01 0.24 0.23
 -------- 01:00 0.01 0.22 0.17
 -------- 02:00 0.01 0.21 0.18
 04.10.12 03:00 ---- 0.20 0.17
 -------- 04:00 0.01 0.21 0.24
 -------- 05:00 0.01 0.22 0.31
 -------- 06:00 0.01 0.21 0.28
 -------- 07:00 0.01 0.20 0.23
 04.10.12 08:00 0.01 0.18 0.17
 -------- 09:00 0.01 0.18 0.13
 -------- 10:00 0.01 0.19 0.11
 -------- 11:00 0.01 0.24 0.12
 -------- 12:00 0.01 0.23 0.12
 04.10.12 13:00 0.01 0.27 0.19
 -------- 14:00 0.02 0.28 0.15
 -------- 15:00 0.03 0.33 0.12
 -------- 16:00 0.08 0.28 0.08
 -------- 17:00 0.07 0.32 0.09
 04.10.12 18:00 0.08 0.29 0.09
 -------- 19:00 0.05 0.31 0.09
 -------- 20:00 0.03 0.32 0.07
 -------- 21:00 0.03 0.28 0.07
 -------- 22:00 0.08 0.19 0.05
 04.10.12 23:00 0.09 0.17 0.06
 -------- 00:00 0.15 0.12 0.03
 -------- 01:00 0.20 0.10 0.03
 -------- 02:00 0.20 0.10 0.02
 -------- 03:00 0.16 0.15 0.02
 05.10.12 04:00 0.14 0.15 0.02
 -------- 05:00 0.15 0.15 0.03
 -------- 06:00 0.03 0.27 0.09
 -------- 07:00 0.01 0.31 0.36
 -------- 08:00 0.01 0.30 0.21
 05.10.12 09:00 0.01 0.32 0.27
