 Date Time CO OZ NO2 NO
 05.01.13 12:00 0.07 0.06 0.11 0.03
 -------- 13:00 0.09 0.06 0.13 0.06
 -------- 14:00 0.08 0.08 0.17 0.06
 -------- 15:00 0.08 0.09 0.14 0.05
 -------- 16:00 0.07 0.09 0.15 0.04
 05.01.13 17:00 0.10 0.06 0.18 0.08
 -------- 18:00 0.10 0.05 0.17 0.06
 -------- 19:00 0.12 0.05 0.17 0.07
 -------- 20:00 0.12 0.05 0.17 0.05
 -------- 21:00 0.09 0.07 0.15 0.04
 05.01.13 22:00 0.09 0.05 0.16 0.04
 -------- 23:00 0.07 0.06 0.15 0.04
 -------- 00:00 0.08 0.06 0.15 0.04
 -------- 01:00 0.06 0.08 0.13 0.04
 -------- 02:00 0.04 0.11 0.10 0.02
 06.01.13 03:00 0.05 0.11 0.10 0.02
 -------- 04:00 0.05 0.10 0.11 0.02
 -------- 05:00 0.04 0.11 0.10 0.01
 -------- 06:00 0.06 0.11 0.09 0.02
 -------- 07:00 0.07 0.09 0.11 0.02
 06.01.13 08:00 0.06 0.09 0.11 0.02
 -------- 09:00 0.06 0.08 0.11 0.02
 -------- 10:00 0.06 0.08 0.11 0.03
 -------- 11:00 0.06 0.09 0.10 0.02
 -------- 12:00 0.06 0.09 0.10 0.03
 06.01.13 13:00 0.07 0.10 0.09 0.03
 -------- 14:00 0.07 0.12 0.10 0.03
 -------- 15:00 0.07 0.12 0.11 0.03
 -------- 16:00 0.09 0.10 0.13 0.03
 -------- 17:00 0.06 0.12 0.11 0.02
 06.01.13 18:00 0.06 0.12 0.12 0.02
 -------- 19:00 0.06 0.12 0.10 0.02
 -------- 20:00 0.06 0.11 0.10 0.02
 -------- 21:00 0.10 0.11 0.11 0.02
 -------- 22:00 0.06 0.12 0.10 0.02
 06.01.13 23:00 0.05 0.13 0.09 0.02
 -------- 00:00 0.04 0.16 0.07 0.02
 -------- 01:00 0.04 0.16 0.06 0.01
 -------- 02:00 0.06 0.17 0.06 0.01
 -------- 03:00 0.04 0.20 0.05 0.01
 07.01.13 04:00 0.04 0.21 0.05 0.01
 -------- 05:00 0.04 0.19 0.06 0.01
 -------- 06:00 0.04 0.18 0.06 0.01
 -------- 07:00 0.04 0.17 0.07 0.01
 -------- 08:00 0.04 0.16 0.07 0.01
 07.01.13 09:00 0.06 0.13 0.10 0.02
 -------- 10:00 0.06 0.13 0.10 0.02
 -------- 11:00 0.06 0.14 0.09 0.02
