 Date Time OZ NO2 NO
 02.10.12 12:00 0.05 0.24 0.14
 -------- 13:00 0.08 0.21 0.10
 -------- 14:00 0.12 0.20 0.09
 -------- 15:00 0.17 0.18 0.05
 -------- 16:00 0.16 0.21 0.07
 02.10.12 17:00 0.12 0.24 0.09
 -------- 18:00 0.03 0.33 0.15
 -------- 19:00 0.01 0.33 0.17
 -------- 20:00 0.01 0.35 0.29
 -------- 21:00 0.01 0.32 0.38
 02.10.12 22:00 0.01 0.31 0.27
 -------- 23:00 0.01 0.32 0.28
 -------- 00:00 0.01 0.30 0.16
 -------- 01:00 ---- 0.28 0.15
 -------- 02:00 ---- 0.25 0.17
 03.10.12 03:00 ---- 0.23 0.12
 -------- 04:00 0.01 0.23 0.10
 -------- 05:00 ---- 0.23 0.07
 -------- 06:00 0.01 0.22 0.06
 -------- 07:00 0.01 0.22 0.06
 03.10.12 08:00 0.01 0.23 0.09
 -------- 09:00 0.01 0.26 0.15
 -------- 10:00 0.01 0.25 0.14
 -------- 11:00 0.01 0.25 0.17
 -------- 12:00 0.01 0.26 0.14
 03.10.12 13:00 0.01 0.28 0.22
 -------- 14:00 0.01 0.26 0.18
 -------- 15:00 0.01 0.24 0.12
 -------- 16:00 0.01 0.25 0.14
 -------- 17:00 0.01 0.28 0.23
 03.10.12 18:00 ---- 0.26 0.17
 -------- 19:00 0.01 0.25 0.21
 -------- 20:00 0.01 0.25 0.22
 -------- 21:00 0.01 0.24 0.21
 -------- 22:00 0.01 0.24 0.17
 03.10.12 23:00 0.01 0.24 0.24
 -------- 00:00 0.01 0.24 0.23
 -------- 01:00 0.01 0.22 0.17
 -------- 02:00 0.01 0.21 0.18
 -------- 03:00 ---- 0.20 0.17
 04.10.12 04:00 0.01 0.21 0.24
 -------- 05:00 0.01 0.22 0.31
 -------- 06:00 0.01 0.21 0.28
 -------- 07:00 0.01 0.20 0.23
 -------- 08:00 0.01 0.18 0.17
 04.10.12 09:00 0.01 0.18 0.13
 -------- 10:00 0.01 0.19 0.11
 -------- 11:00 0.01 0.24 0.12
