 Date Time CO OZ NO2 NO
 13.12.12 00:00 0.04 0.11 0.15 0.01
 -------- 01:00 0.05 0.13 0.15 0.01
 -------- 02:00 0.05 0.16 0.11 0.01
 -------- 03:00 0.04 0.18 0.11 0.01
 -------- 04:00 0.04 0.19 0.10 0.01
 13.12.12 05:00 0.04 0.23 0.10 0.01
 -------- 06:00 0.04 0.23 0.11 0.01
 -------- 07:00 0.05 0.18 0.17 0.01
 -------- 08:00 0.06 0.17 0.19 0.01
 -------- 09:00 0.06 0.15 0.21 0.02
 13.12.12 10:00 0.07 0.15 0.23 0.02
 -------- 11:00 0.07 0.16 0.21 0.02
 -------- 12:00 0.07 0.14 0.22 0.03
 -------- 13:00 0.06 0.17 0.19 0.03
 -------- 14:00 0.06 0.21 0.17 0.02
 13.12.12 15:00 0.07 0.22 0.18 0.02
 -------- 16:00 0.06 0.22 0.18 0.02
 -------- 17:00 0.09 0.22 0.19 0.02
 -------- 18:00 0.06 0.21 0.19 0.02
 -------- 19:00 0.07 0.20 0.19 0.01
 13.12.12 20:00 0.07 0.23 0.16 0.01
 -------- 21:00 0.06 0.20 0.18 0.01
 -------- 22:00 0.05 0.19 0.17 0.01
 -------- 23:00 0.04 0.17 0.18 0.01
 -------- 00:00 0.04 0.20 0.15 0.01
 14.12.12 01:00 0.04 0.21 0.13 0.01
 -------- 02:00 0.02 0.23 0.11 0.01
 -------- 03:00 0.02 0.24 0.11 0.01
 -------- 04:00 0.02 0.22 0.13 0.01
 -------- 05:00 0.02 0.20 0.14 0.01
 14.12.12 06:00 0.04 0.18 0.15 0.02
 -------- 07:00 0.04 0.16 0.17 0.02
 -------- 08:00 0.08 0.12 0.21 0.03
 -------- 09:00 0.08 0.10 0.22 0.03
 -------- 10:00 0.09 0.10 0.21 0.03
 14.12.12 11:00 0.07 0.10 0.23 0.04
 -------- 12:00 0.07 0.11 0.22 0.05
 -------- 13:00 0.06 0.14 0.20 0.03
 -------- 14:00 0.09 0.14 0.19 0.04
 -------- 15:00 0.13 0.15 0.20 0.04
 14.12.12 16:00 0.07 0.14 0.21 0.03
 -------- 17:00 0.06 0.10 0.25 0.03
 -------- 18:00 0.09 0.11 0.24 0.02
 -------- 19:00 0.09 0.13 0.24 0.02
 -------- 20:00 0.07 0.17 0.21 0.02
 14.12.12 21:00 0.06 0.17 0.21 0.01
 -------- 22:00 0.23 0.17 0.21 0.02
 -------- 23:00 0.07 0.16 0.19 0.01
