 Date Time OZ NO2 NO
 24.09.12 12:00 0.07 0.19 0.09
 -------- 13:00 0.07 0.19 0.09
 -------- 14:00 0.10 0.19 0.10
 -------- 15:00 0.14 0.15 0.06
 -------- 16:00 0.10 0.18 0.07
 24.09.12 17:00 0.10 0.17 0.06
 -------- 18:00 0.07 0.17 0.07
 -------- 19:00 0.05 0.18 0.06
 -------- 20:00 0.03 0.20 0.08
 -------- 21:00 0.04 0.20 0.07
 24.09.12 22:00 0.03 0.20 0.08
 -------- 23:00 0.03 0.17 0.05
 -------- 00:00 0.04 0.15 0.04
 -------- 01:00 0.06 0.12 0.03
 -------- 02:00 0.04 0.13 0.02
 25.09.12 03:00 0.06 0.11 0.02
 -------- 04:00 0.09 0.09 0.02
 -------- 05:00 0.09 0.09 0.02
 -------- 06:00 0.06 0.14 0.03
 -------- 07:00 0.04 0.17 0.06
 25.09.12 08:00 0.04 0.18 0.07
 -------- 09:00 0.04 0.20 0.08
 -------- 10:00 0.08 0.16 0.07
 -------- 11:00 0.08 0.17 0.08
 -------- 12:00 0.13 0.13 0.06
 25.09.12 13:00 0.16 0.13 0.05
 -------- 14:00 0.13 0.16 0.06
 -------- 15:00 0.11 0.17 0.07
 -------- 16:00 0.10 0.19 0.07
 -------- 17:00 0.08 0.18 0.06
 25.09.12 18:00 0.07 0.20 0.07
 -------- 19:00 0.04 0.21 0.08
 -------- 20:00 0.03 0.21 0.08
 -------- 21:00 0.02 0.20 0.08
 -------- 22:00 0.07 0.13 0.06
 25.09.12 23:00 0.06 0.13 0.05
 -------- 00:00 0.03 0.14 0.04
 -------- 01:00 0.03 0.14 0.04
 -------- 02:00 0.04 0.13 0.03
 -------- 03:00 0.05 0.12 0.03
 26.09.12 04:00 0.07 0.09 0.02
 -------- 05:00 0.04 0.12 0.02
 -------- 06:00 0.06 0.11 0.04
 -------- 07:00 0.01 0.18 0.14
 -------- 08:00 0.01 0.18 0.18
 26.09.12 09:00 0.01 0.18 0.16
 -------- 10:00 0.02 0.19 0.14
 -------- 11:00 0.04 0.18 0.13
