 Date Time CO OZ NO2 NO
 15.01.13 12:00 0.08 0.11 0.22 0.08
 -------- 13:00 0.10 0.10 0.25 0.09
 -------- 14:00 0.09 0.10 0.24 0.09
 -------- 15:00 0.09 0.09 0.26 0.08
 -------- 16:00 0.10 0.09 0.26 0.09
 15.01.13 17:00 0.15 0.03 0.31 0.15
 -------- 18:00 0.12 0.03 0.31 0.10
 -------- 19:00 0.13 0.03 0.30 0.11
 -------- 20:00 0.14 0.01 0.31 0.10
 -------- 21:00 0.13 0.01 0.30 0.09
 15.01.13 22:00 0.13 0.02 0.32 0.08
 -------- 23:00 0.11 0.03 0.30 0.05
 -------- 00:00 0.09 0.02 0.32 0.06
 -------- 01:00 0.07 0.01 0.33 0.06
 -------- 02:00 0.09 0.01 0.35 0.09
 16.01.13 03:00 0.07 0.01 0.36 0.10
 -------- 04:00 0.09 0.01 0.35 0.07
 -------- 05:00 0.07 0.02 0.31 0.05
 -------- 06:00 0.04 0.03 0.29 0.02
 -------- 07:00 0.07 0.02 0.31 0.05
 16.01.13 08:00 0.10 0.01 0.34 0.09
 -------- 09:00 0.12 0.01 0.35 0.13
 -------- 10:00 0.13 0.01 0.34 0.13
 -------- 11:00 0.14 0.01 0.35 0.15
 -------- 12:00 0.15 0.01 0.35 0.18
 16.01.13 13:00 0.15 0.02 0.34 0.16
 -------- 14:00 0.16 0.01 0.35 0.20
 -------- 15:00 0.19 0.01 0.35 0.18
 -------- 16:00 0.15 0.01 0.34 0.20
 -------- 17:00 0.13 0.01 0.32 0.15
 16.01.13 18:00 0.09 0.01 0.28 0.06
 -------- 19:00 0.07 0.01 0.25 0.03
 -------- 20:00 0.08 0.02 0.25 0.03
 -------- 21:00 0.08 0.01 0.26 0.03
 -------- 22:00 0.06 0.01 0.24 0.02
 16.01.13 23:00 0.06 0.03 0.21 0.02
 -------- 00:00 0.05 0.08 0.16 0.01
 -------- 01:00 0.04 0.11 0.13 0.01
 -------- 02:00 0.04 0.13 0.12 0.01
 -------- 03:00 0.06 0.12 0.13 0.01
 17.01.13 04:00 0.06 0.13 0.11 0.01
 -------- 05:00 0.06 0.14 0.11 0.01
 -------- 06:00 0.07 0.14 0.12 0.01
 -------- 07:00 0.06 0.13 0.13 0.01
 -------- 08:00 0.07 0.11 0.15 0.01
 17.01.13 09:00 0.07 0.11 0.16 0.02
 -------- 10:00 0.08 0.11 0.17 0.01
 -------- 11:00 0.09 0.10 0.18 0.02
