 Date Time CO OZ NO2 NO
 14.02.13 12:00 0.08 0.08 0.27 0.08
 -------- 13:00 0.11 0.08 0.30 0.10
 -------- 14:00 0.11 0.08 0.31 0.12
 -------- 15:00 0.08 0.13 0.26 0.07
 -------- 16:00 0.07 0.13 0.25 0.06
 14.02.13 17:00 0.07 0.11 0.28 0.05
 -------- 18:00 0.07 0.15 0.24 0.02
 -------- 19:00 0.09 0.08 0.30 0.02
 -------- 20:00 0.08 0.07 0.29 0.03
 -------- 21:00 0.07 0.11 0.26 0.01
 14.02.13 22:00 0.06 0.11 0.25 0.02
 -------- 23:00 0.09 0.06 0.30 0.02
 -------- 00:00 0.09 0.05 0.30 0.02
 -------- 01:00 0.10 0.05 0.28 0.01
 -------- 02:00 0.10 0.02 0.31 0.02
 15.02.13 03:00 0.10 0.01 0.32 0.02
 -------- 04:00 0.09 0.01 0.31 0.02
 -------- 05:00 0.10 0.01 0.32 0.03
 -------- 06:00 0.10 0.01 0.32 0.04
 -------- 07:00 0.10 0.01 0.32 0.04
 15.02.13 08:00 0.13 0.02 0.33 0.04
 -------- 09:00 0.12 0.03 0.32 0.04
 -------- 10:00 0.11 0.04 0.30 0.03
 -------- 11:00 0.11 0.03 0.30 0.06
 -------- 12:00 0.19 0.04 0.34 0.20
 15.02.13 13:00 0.17 0.03 0.34 0.21
 -------- 14:00 0.14 0.05 0.32 0.16
 -------- 15:00 0.13 0.07 0.33 0.14
 -------- 16:00 0.15 0.06 0.34 0.16
 -------- 17:00 0.15 0.05 0.35 0.10
 15.02.13 18:00 0.13 0.04 0.36 0.06
 -------- 19:00 0.09 0.07 0.31 0.02
 -------- 20:00 0.16 0.03 0.36 0.13
 -------- 21:00 0.24 0.01 0.39 0.20
 -------- 22:00 0.11 0.03 0.36 0.03
 15.02.13 23:00 0.09 0.05 0.33 0.02
 -------- 00:00 0.12 0.01 0.37 0.05
 -------- 01:00 0.14 0.01 0.37 0.07
 -------- 02:00 0.12 0.01 0.36 0.03
 -------- 03:00 0.13 0.01 0.36 0.06
 16.02.13 04:00 0.13 0.01 0.36 0.06
 -------- 05:00 0.13 0.01 0.36 0.08
 -------- 06:00 0.16 0.01 0.36 0.09
 -------- 07:00 0.17 0.01 0.38 0.13
 -------- 08:00 0.21 0.01 0.38 0.18
 16.02.13 09:00 0.23 0.01 0.37 0.21
 -------- 10:00 0.27 0.01 0.39 0.23
 -------- 11:00 0.25 0.01 0.39 0.22
 -------- 12:00 0.24 0.02 0.38 0.19
