 Date Time CO OZ NO2 NO
 25.03.13 12:00 0.04 0.40 0.10 0.04
 -------- 13:00 0.05 0.37 0.10 0.04
 -------- 14:00 0.05 0.43 0.09 0.03
 -------- 15:00 0.02 0.41 0.11 0.05
 -------- 16:00 0.02 0.41 0.11 0.04
 25.03.13 17:00 0.04 0.39 0.13 0.05
 -------- 18:00 0.04 0.33 0.18 0.07
 -------- 19:00 0.05 0.32 0.18 0.06
 -------- 20:00 0.05 0.27 0.22 0.08
 -------- 21:00 0.05 0.29 0.16 0.06
 25.03.13 22:00 0.05 0.28 0.18 0.08
 -------- 23:00 0.06 0.23 0.21 0.11
 -------- 00:00 0.05 0.28 0.14 0.04
 -------- 01:00 0.04 0.35 0.10 0.02
 -------- 02:00 0.04 0.37 0.09 0.01
 26.03.13 03:00 0.04 0.38 0.09 0.01
 -------- 04:00 0.03 0.36 0.10 0.01
 -------- 05:00 0.03 0.34 0.11 0.01
 -------- 06:00 0.04 0.31 0.13 0.02
 -------- 07:00 0.05 0.25 0.18 0.03
 26.03.13 08:00 0.09 0.20 0.23 0.06
 -------- 09:00 0.07 0.23 0.20 0.05
 -------- 10:00 0.07 0.28 0.15 0.05
 -------- 11:00 0.07 0.30 0.15 0.06
 -------- 12:00 0.04 0.32 0.12 0.04
 26.03.13 13:00 0.05 0.29 0.13 0.05
 -------- 14:00 0.05 0.31 0.13 0.05
 -------- 15:00 0.03 0.36 0.12 0.04
 -------- 16:00 0.04 0.37 0.13 0.04
 -------- 17:00 0.04 0.37 0.14 0.04
 26.03.13 18:00 0.04 0.38 0.13 0.03
 -------- 19:00 0.05 0.35 0.19 0.03
 -------- 20:00 0.06 0.27 0.25 0.03
 -------- 21:00 0.06 0.23 0.26 0.02
 -------- 22:00 0.06 0.19 0.31 0.03
 26.03.13 23:00 0.05 0.11 0.37 0.03
 -------- 00:00 0.03 0.10 0.37 0.03
 -------- 01:00 0.04 0.11 0.36 0.03
 -------- 02:00 0.04 0.06 0.40 0.04
 -------- 03:00 0.02 0.20 0.25 0.02
 27.03.13 04:00 0.02 0.23 0.26 0.02
 -------- 05:00 0.03 0.22 0.25 0.02
 -------- 06:00 0.07 0.13 0.35 0.05
 -------- 07:00 0.15 0.04 0.41 0.08
 -------- 08:00 0.19 0.06 0.40 0.11
 27.03.13 09:00 0.10 0.13 0.33 0.09
 -------- 10:00 0.09 0.16 0.29 0.11
 -------- 11:00 0.05 0.25 0.21 0.08
