 Date Time CO OZ NO2 NO
 01.12.12 12:00 0.02 0.01 0.17 0.24
 -------- 13:00 0.02 0.01 0.20 0.23
 -------- 14:00 ---- 0.01 0.21 0.21
 -------- 15:00 ---- 0.01 0.18 0.19
 -------- 16:00 0.06 0.01 0.19 0.30
 01.12.12 17:00 0.11 0.01 0.20 0.28
 -------- 18:00 0.15 0.01 0.20 0.29
 -------- 19:00 0.14 0.01 0.22 0.35
 -------- 20:00 0.13 0.01 0.18 0.23
 -------- 21:00 0.09 0.01 0.19 0.31
 01.12.12 22:00 0.10 0.01 0.20 0.32
 -------- 23:00 ---- 0.01 0.19 0.29
 -------- 00:00 ---- 0.01 0.17 0.23
 -------- 01:00 ---- 0.01 0.16 0.24
 -------- 02:00 ---- 0.01 0.17 0.28
 02.12.12 03:00 ---- 0.01 0.16 0.25
 -------- 04:00 ---- 0.01 0.13 0.16
 -------- 05:00 ---- 0.01 0.13 0.12
 -------- 06:00 ---- 0.01 0.11 0.10
 -------- 07:00 ---- 0.01 0.11 0.07
 02.12.12 08:00 ---- 0.01 0.11 0.06
 -------- 09:00 ---- 0.01 0.14 0.07
 -------- 10:00 ---- 0.02 0.12 0.06
 -------- 11:00 ---- 0.03 0.12 0.06
 -------- 12:00 ---- 0.04 0.12 0.06
 02.12.12 13:00 ---- 0.03 0.16 0.09
 -------- 14:00 ---- 0.03 0.15 0.08
 -------- 15:00 ---- 0.04 0.15 0.08
 -------- 16:00 ---- 0.02 0.19 0.11
 -------- 17:00 0.02 0.03 0.17 0.07
 02.12.12 18:00 0.02 0.03 0.18 0.08
 -------- 19:00 0.05 0.03 0.17 0.08
 -------- 20:00 0.02 0.08 0.13 0.05
 -------- 21:00 ---- 0.09 0.13 0.04
 -------- 22:00 ---- 0.09 0.13 0.03
 02.12.12 23:00 0.12 0.09 0.14 0.04
 -------- 00:00 0.09 0.10 0.12 0.03
 -------- 01:00 0.02 0.11 0.12 0.02
 -------- 02:00 ---- 0.11 0.13 0.02
 -------- 03:00 ---- 0.13 0.11 0.01
 03.12.12 04:00 ---- 0.12 0.13 0.03
 -------- 05:00 ---- 0.11 0.15 0.01
 -------- 06:00 ---- 0.10 0.16 0.02
 -------- 07:00 ---- 0.04 0.21 0.01
 -------- 08:00 ---- 0.02 0.25 0.11
 03.12.12 09:00 0.02 0.01 0.26 0.12
 -------- 10:00 0.02 0.01 0.30 0.17
 -------- 11:00 0.02 0.02 0.25 0.07
