 Date Time OZ NO2 NO
 28.09.12 12:00 0.12 0.31 0.07
 -------- 13:00 0.19 0.25 0.04
 -------- 14:00 0.21 0.29 0.06
 -------- 15:00 0.25 0.26 0.04
 -------- 16:00 0.23 0.30 0.04
 28.09.12 17:00 0.19 0.34 0.03
 -------- 18:00 0.17 0.36 0.03
 -------- 19:00 0.18 0.35 0.02
 -------- 20:00 0.15 0.38 0.02
 -------- 21:00 0.17 0.32 0.03
 28.09.12 22:00 0.19 0.18 0.05
 -------- 23:00 0.18 0.16 0.04
 -------- 00:00 0.22 0.12 0.03
 -------- 01:00 0.21 0.09 0.02
 -------- 02:00 0.22 0.08 0.02
 29.09.12 03:00 0.20 0.07 0.02
 -------- 04:00 0.20 0.07 0.02
 -------- 05:00 0.15 0.11 0.02
 -------- 06:00 0.12 0.14 0.03
 -------- 07:00 0.10 0.16 0.04
 29.09.12 08:00 0.08 0.18 0.07
 -------- 09:00 0.10 0.16 0.05
 -------- 10:00 0.13 0.16 0.06
 -------- 11:00 0.15 0.14 0.06
 -------- 12:00 0.22 0.09 0.04
 29.09.12 13:00 0.23 0.12 0.04
 -------- 14:00 0.23 0.14 0.05
 -------- 15:00 0.26 0.11 0.03
 -------- 16:00 0.25 0.12 0.04
 -------- 17:00 0.24 0.15 0.04
 29.09.12 18:00 0.21 0.16 0.04
 -------- 19:00 0.17 0.20 0.06
 -------- 20:00 0.14 0.21 0.05
 -------- 21:00 0.07 0.27 0.09
 -------- 22:00 0.01 0.32 0.10
 29.09.12 23:00 0.01 0.31 0.14
 -------- 00:00 0.01 0.31 0.16
 -------- 01:00 0.01 0.29 0.19
 -------- 02:00 0.01 0.29 0.07
 -------- 03:00 0.01 0.28 0.13
 30.09.12 04:00 0.01 0.26 0.21
 -------- 05:00 0.01 0.27 0.12
 -------- 06:00 0.01 0.26 0.09
 -------- 07:00 0.01 0.27 0.09
 -------- 08:00 0.01 0.26 0.08
 30.09.12 09:00 0.02 0.24 0.07
 -------- 10:00 0.05 0.23 0.08
 -------- 11:00 0.02 0.26 0.14
