 Date Time CO OZ NO2 NO
 15.11.12 12:00 0.10 0.04 0.19 0.09
 -------- 13:00 0.10 0.05 0.18 0.09
 -------- 14:00 0.09 0.04 0.19 0.11
 -------- 15:00 0.10 0.05 0.19 0.10
 -------- 16:00 0.07 0.04 0.19 0.08
 15.11.12 17:00 0.09 0.04 0.20 0.08
 -------- 18:00 0.11 0.04 0.22 0.10
 -------- 19:00 0.10 0.06 0.20 0.08
 -------- 20:00 0.08 0.09 0.17 0.07
 -------- 21:00 0.07 0.12 0.14 0.04
 15.11.12 22:00 0.06 0.15 0.12 0.04
 -------- 23:00 0.04 0.17 0.10 0.03
 -------- 00:00 0.03 0.19 0.09 0.02
 -------- 01:00 0.02 0.21 0.07 0.01
 -------- 02:00 0.02 0.23 0.06 0.01
 16.11.12 03:00 0.04 0.21 0.06 0.01
 -------- 04:00 0.04 0.25 0.07 0.01
 -------- 05:00 0.04 0.29 0.08 0.01
 -------- 06:00 0.04 0.26 0.10 0.02
 -------- 07:00 0.05 0.23 0.15 0.03
 16.11.12 08:00 0.07 0.21 0.17 0.04
 -------- 09:00 0.08 0.18 0.19 0.05
 -------- 10:00 0.08 0.15 0.20 0.05
 -------- 11:00 0.09 0.14 0.21 0.06
 -------- 12:00 0.09 0.15 0.19 0.06
 16.11.12 13:00 0.06 0.17 0.18 0.06
 -------- 14:00 0.06 0.17 0.19 0.06
 -------- 15:00 0.07 0.12 0.24 0.09
 -------- 16:00 0.07 0.10 0.25 0.07
 -------- 17:00 0.08 0.11 0.22 0.07
 16.11.12 18:00 0.07 0.14 0.19 0.05
 -------- 19:00 0.07 0.17 0.18 0.04
 -------- 20:00 0.06 0.18 0.17 0.04
 -------- 21:00 0.06 0.19 0.15 0.04
 -------- 22:00 0.07 0.15 0.18 0.04
 16.11.12 23:00 0.05 0.16 0.15 0.02
 -------- 00:00 0.07 0.13 0.20 0.03
 -------- 01:00 0.05 0.13 0.19 0.03
 -------- 02:00 0.05 0.10 0.20 0.03
 -------- 03:00 0.03 0.13 0.16 0.02
 17.11.12 04:00 0.03 0.11 0.16 0.02
 -------- 05:00 0.02 0.16 0.12 0.02
 -------- 06:00 0.03 0.12 0.16 0.02
 -------- 07:00 0.03 0.12 0.18 0.03
 -------- 08:00 0.05 0.07 0.24 0.06
 17.11.12 09:00 0.11 0.02 0.29 0.10
 -------- 10:00 0.12 0.02 0.28 0.11
 -------- 11:00 0.11 0.05 0.25 0.08
