 Date Time CO OZ NO2 NO
 20.11.12 00:00 0.06 0.02 0.13 0.04
 -------- 01:00 0.07 0.01 0.12 0.04
 -------- 02:00 0.05 0.02 0.12 0.02
 -------- 03:00 0.05 0.02 0.12 0.02
 -------- 04:00 0.04 0.02 0.11 0.03
 20.11.12 05:00 0.05 0.01 0.11 0.03
 -------- 06:00 0.06 0.01 0.13 0.07
 -------- 07:00 0.13 0.01 0.14 0.11
 -------- 08:00 0.13 ---- 0.14 0.12
 -------- 09:00 0.13 0.01 0.15 0.14
 20.11.12 10:00 0.15 0.01 0.16 0.16
 -------- 11:00 0.15 0.01 0.16 0.21
 -------- 12:00 0.17 0.01 0.18 0.20
 -------- 13:00 0.19 0.01 0.23 0.22
 -------- 14:00 0.17 0.01 0.23 0.19
 20.11.12 15:00 0.11 0.06 0.22 0.10
 -------- 16:00 0.12 0.07 0.21 0.10
 -------- 17:00 0.10 0.06 0.19 0.08
 -------- 18:00 0.13 0.06 0.21 0.10
 -------- 19:00 0.09 0.08 0.17 0.06
 20.11.12 20:00 0.07 0.13 0.14 0.04
 -------- 21:00 0.09 0.12 0.16 0.06
 -------- 22:00 0.07 0.13 0.14 0.05
 -------- 23:00 0.08 0.11 0.15 0.06
 -------- 00:00 0.07 0.14 0.13 0.03
 21.11.12 01:00 0.05 0.16 0.12 0.02
 -------- 02:00 0.05 0.19 0.09 0.02
 -------- 03:00 0.06 0.19 0.09 0.01
 -------- 04:00 0.06 0.18 0.09 0.02
 -------- 05:00 0.05 0.18 0.09 0.02
 21.11.12 06:00 0.08 0.15 0.14 0.03
 -------- 07:00 0.12 0.05 0.25 0.09
 -------- 08:00 0.17 0.01 0.29 0.14
 -------- 09:00 0.20 0.01 0.29 0.21
 -------- 10:00 0.19 0.01 0.29 0.21
 21.11.12 11:00 0.17 0.01 0.25 0.18
 -------- 12:00 0.13 0.01 0.25 0.18
 -------- 13:00 0.17 0.01 0.25 0.20
 -------- 14:00 0.16 0.01 0.23 0.19
 -------- 15:00 0.17 0.01 0.24 0.22
 21.11.12 16:00 0.21 0.01 0.25 0.27
 -------- 17:00 0.17 0.01 0.23 0.22
 -------- 18:00 0.18 0.01 0.23 0.20
 -------- 19:00 0.15 0.01 0.25 0.13
 -------- 20:00 0.12 0.02 0.24 0.10
 21.11.12 21:00 0.16 0.01 0.26 0.15
 -------- 22:00 0.18 0.01 0.27 0.15
 -------- 23:00 0.13 0.01 0.25 0.10
