 Date Time CO OZ NO2 NO
 27.12.12 00:00 0.06 0.07 0.21 0.04
 -------- 01:00 0.07 0.09 0.17 0.04
 -------- 02:00 0.04 0.16 0.15 0.02
 -------- 03:00 0.07 0.12 0.18 0.06
 -------- 04:00 0.04 0.15 0.15 0.03
 27.12.12 05:00 0.05 0.08 0.20 0.05
 -------- 06:00 0.07 0.03 0.24 0.04
 -------- 07:00 0.12 0.02 0.26 0.07
 -------- 08:00 0.11 0.04 0.26 0.07
 -------- 09:00 0.15 0.01 0.29 0.11
 27.12.12 10:00 0.17 0.01 0.31 0.15
 -------- 11:00 0.25 0.01 0.32 0.27
 -------- 12:00 0.28 0.01 0.31 0.27
 -------- 13:00 0.29 0.01 0.31 0.26
 -------- 14:00 0.27 0.01 0.30 0.26
 27.12.12 15:00 0.30 0.01 0.32 0.33
 -------- 16:00 0.29 0.01 0.32 0.35
 -------- 17:00 0.35 ---- 0.36 0.45
 -------- 18:00 0.47 0.01 0.36 0.49
 -------- 19:00 0.43 0.01 0.37 0.59
 27.12.12 20:00 0.31 0.01 0.33 0.44
 -------- 21:00 0.17 0.01 0.26 0.22
 -------- 22:00 0.11 0.01 0.22 0.12
 -------- 23:00 0.06 0.01 0.20 0.06
 -------- 00:00 0.05 0.01 0.22 0.08
 28.12.12 01:00 0.04 0.01 0.22 0.06
 -------- 02:00 0.05 0.05 0.16 0.03
 -------- 03:00 0.04 0.11 0.12 0.02
 -------- 04:00 0.04 0.13 0.11 0.02
 -------- 05:00 0.04 0.10 0.15 0.03
 28.12.12 06:00 0.06 0.09 0.16 0.05
 -------- 07:00 0.09 0.06 0.20 0.06
 -------- 08:00 0.16 0.01 0.26 0.12
 -------- 09:00 0.15 0.01 0.26 0.11
 -------- 10:00 0.13 0.01 0.27 0.11
 28.12.12 11:00 0.16 0.01 0.28 0.15
 -------- 12:00 0.14 0.02 0.28 0.14
 -------- 13:00 0.17 0.03 0.25 0.16
 -------- 14:00 0.14 0.04 0.27 0.15
 -------- 15:00 0.13 0.05 0.25 0.11
 28.12.12 16:00 0.11 0.05 0.24 0.10
 -------- 17:00 0.13 0.04 0.26 0.11
 -------- 18:00 0.14 0.04 0.25 0.12
 -------- 19:00 0.11 0.05 0.24 0.08
 -------- 20:00 0.12 0.05 0.24 0.09
 28.12.12 21:00 0.11 0.06 0.21 0.09
 -------- 22:00 0.06 0.17 0.15 0.05
 -------- 23:00 0.09 0.23 0.16 0.04
