 Date Time OZ NO2 NO
 25.09.12 12:00 0.14 0.12 0.06
 -------- 13:00 0.16 0.13 0.05
 -------- 14:00 0.13 0.16 0.06
 -------- 15:00 0.11 0.17 0.07
 -------- 16:00 0.10 0.19 0.07
 25.09.12 17:00 0.08 0.18 0.06
 -------- 18:00 0.07 0.20 0.07
 -------- 19:00 0.04 0.21 0.08
 -------- 20:00 0.03 0.21 0.08
 -------- 21:00 0.02 0.20 0.08
 25.09.12 22:00 0.07 0.13 0.06
 -------- 23:00 0.06 0.13 0.05
 -------- 00:00 0.03 0.14 0.04
 -------- 01:00 0.03 0.14 0.04
 -------- 02:00 0.04 0.13 0.03
 26.09.12 03:00 0.05 0.12 0.03
 -------- 04:00 0.07 0.09 0.02
 -------- 05:00 0.04 0.12 0.02
 -------- 06:00 0.06 0.11 0.04
 -------- 07:00 0.01 0.18 0.14
 26.09.12 08:00 0.01 0.18 0.18
 -------- 09:00 0.01 0.18 0.16
 -------- 10:00 0.02 0.19 0.14
 -------- 11:00 0.04 0.18 0.13
 -------- 12:00 0.06 0.18 0.09
 26.09.12 13:00 0.08 0.18 0.09
 -------- 14:00 0.10 0.20 0.10
 -------- 15:00 0.08 0.20 0.09
 -------- 16:00 0.09 0.20 0.10
 -------- 17:00 0.07 0.22 0.09
 26.09.12 18:00 0.07 0.23 0.10
 -------- 19:00 0.02 0.24 0.08
 -------- 20:00 0.01 0.25 0.17
 -------- 21:00 0.01 0.22 0.14
 -------- 22:00 0.01 0.21 0.23
 26.09.12 23:00 0.01 0.22 0.23
 -------- 00:00 0.01 0.24 0.24
 -------- 01:00 ---- 0.22 0.26
 -------- 02:00 0.01 0.19 0.21
 -------- 03:00 0.01 0.18 0.29
 27.09.12 04:00 0.01 0.17 0.35
 -------- 05:00 0.01 0.13 0.27
 -------- 06:00 ---- 0.13 0.28
 -------- 07:00 ---- 0.15 0.33
 -------- 08:00 0.01 0.19 0.46
 27.09.12 09:00 0.01 0.21 0.40
 -------- 10:00 0.01 0.29 0.35
 -------- 11:00 0.01 0.37 0.21
