 Date Time CO OZ NO2 NO
 03.11.12 00:00 0.04 0.07 0.21 0.03
 -------- 01:00 0.04 0.07 0.20 0.02
 -------- 02:00 0.04 0.07 0.20 0.02
 -------- 03:00 0.03 0.08 0.19 0.02
 -------- 04:00 0.03 0.08 0.17 0.02
 03.11.12 05:00 0.04 0.05 0.19 0.03
 -------- 06:00 0.04 0.03 0.20 0.03
 -------- 07:00 0.05 0.01 0.22 0.05
 -------- 08:00 0.09 0.01 0.23 0.07
 -------- 09:00 0.11 0.01 0.26 0.09
 03.11.12 10:00 0.11 0.01 0.27 0.10
 -------- 11:00 0.11 0.01 0.27 0.09
 -------- 12:00 0.12 0.04 0.25 0.06
 -------- 13:00 0.13 0.03 0.26 0.07
 -------- 14:00 0.10 0.03 0.26 0.07
 03.11.12 15:00 0.13 0.02 0.26 0.09
 -------- 16:00 0.10 0.02 0.25 0.06
 -------- 17:00 0.10 0.02 0.24 0.06
 -------- 18:00 0.10 0.01 0.24 0.06
 -------- 19:00 0.11 0.01 0.23 0.08
 03.11.12 20:00 0.13 0.01 0.23 0.10
 -------- 21:00 0.14 0.01 0.21 0.10
 -------- 22:00 0.11 0.01 0.20 0.10
 -------- 23:00 0.11 0.01 0.18 0.08
 -------- 00:00 0.11 0.01 0.18 0.10
 04.11.12 01:00 0.10 0.01 0.17 0.10
 -------- 02:00 0.07 0.01 0.15 0.06
 -------- 03:00 0.05 0.02 0.15 0.04
 -------- 04:00 0.05 0.03 0.16 0.04
 -------- 05:00 0.06 0.02 0.17 0.03
 04.11.12 06:00 0.05 0.01 0.17 0.05
 -------- 07:00 0.08 0.02 0.18 0.07
 -------- 08:00 0.07 0.03 0.18 0.06
 -------- 09:00 0.09 0.04 0.20 0.08
 -------- 10:00 0.09 0.04 0.24 0.12
 04.11.12 11:00 0.13 0.05 0.21 0.09
 -------- 12:00 0.11 0.08 0.20 0.07
 -------- 13:00 0.13 0.06 0.20 0.08
 -------- 14:00 0.11 0.07 0.19 0.07
 -------- 15:00 0.11 0.07 0.20 0.07
 04.11.12 16:00 0.12 0.07 0.20 0.08
 -------- 17:00 0.13 0.07 0.22 0.09
 -------- 18:00 0.11 0.09 0.20 0.06
 -------- 19:00 0.09 0.09 0.19 0.05
 -------- 20:00 0.09 0.08 0.20 0.07
 04.11.12 21:00 0.11 0.09 0.19 0.06
 -------- 22:00 0.13 0.06 0.21 0.08
 -------- 23:00 0.12 0.08 0.17 0.05
