 Date Time CO OZ NO2 NO
 27.11.12 00:00 0.07 0.01 0.13 0.08
 -------- 01:00 0.07 0.01 0.13 0.08
 -------- 02:00 0.05 0.01 0.12 0.05
 -------- 03:00 0.04 0.02 0.10 0.02
 -------- 04:00 0.04 0.01 0.10 0.03
 27.11.12 05:00 0.04 0.01 0.11 0.04
 -------- 06:00 0.05 0.01 0.12 0.05
 -------- 07:00 0.09 0.01 0.17 0.10
 -------- 08:00 0.12 0.01 0.18 0.14
 -------- 09:00 0.04 0.01 0.18 0.18
 27.11.12 10:00 0.04 0.01 0.18 0.15
 -------- 11:00 0.06 0.01 0.17 0.18
 -------- 12:00 0.06 0.01 0.16 0.17
 -------- 13:00 0.05 0.01 0.16 0.12
 -------- 14:00 0.04 0.01 0.16 0.13
 27.11.12 15:00 0.04 0.01 0.17 0.14
 -------- 16:00 0.04 0.01 0.17 0.10
 -------- 17:00 0.03 0.01 0.17 0.10
 -------- 18:00 0.03 0.02 0.16 0.09
 -------- 19:00 0.02 0.01 0.18 0.10
 27.11.12 20:00 ---- 0.01 0.19 0.13
 -------- 21:00 0.02 0.01 0.19 0.10
 -------- 22:00 0.02 0.01 0.20 0.10
 -------- 23:00 ---- 0.01 0.18 0.08
 -------- 00:00 ---- 0.01 0.17 0.05
 28.11.12 01:00 ---- 0.02 0.14 0.04
 -------- 02:00 ---- 0.01 0.16 0.06
 -------- 03:00 ---- 0.01 0.17 0.09
 -------- 04:00 ---- 0.01 0.17 0.07
 -------- 05:00 ---- 0.01 0.17 0.04
 28.11.12 06:00 ---- 0.01 0.15 0.02
 -------- 07:00 ---- 0.01 0.17 0.06
 -------- 08:00 0.02 0.01 0.18 0.13
 -------- 09:00 0.02 0.01 0.17 0.12
 -------- 10:00 0.02 0.01 0.17 0.09
 28.11.12 11:00 0.03 0.01 0.17 0.11
 -------- 12:00 0.04 0.01 0.18 0.12
 -------- 13:00 0.04 0.01 0.18 0.14
 -------- 14:00 0.04 0.01 0.17 0.13
 -------- 15:00 ---- 0.01 0.17 0.11
 28.11.12 16:00 ---- 0.01 0.19 0.09
 -------- 17:00 ---- 0.01 0.20 0.08
 -------- 18:00 ---- 0.01 0.19 0.06
 -------- 19:00 ---- 0.01 0.19 0.05
 -------- 20:00 ---- 0.01 0.17 0.04
 28.11.12 21:00 ---- 0.03 0.17 0.02
 -------- 22:00 ---- 0.05 0.14 0.02
 -------- 23:00 ---- 0.05 0.13 0.01
