 Date Time CO OZ NO2 NO
 20.12.12 12:00 0.20 0.02 0.39 0.28
 -------- 13:00 0.14 0.02 0.35 0.24
 -------- 14:00 0.14 0.03 0.35 0.23
 -------- 15:00 0.15 0.02 0.35 0.20
 -------- 16:00 0.12 0.02 0.32 0.13
 20.12.12 17:00 0.17 0.01 0.34 0.14
 -------- 18:00 0.11 0.01 0.32 0.11
 -------- 19:00 0.08 0.01 0.29 0.05
 -------- 20:00 0.09 0.01 0.29 0.05
 -------- 21:00 0.08 0.01 0.30 0.06
 20.12.12 22:00 0.09 0.01 0.29 0.07
 -------- 23:00 0.08 0.01 0.28 0.06
 -------- 00:00 0.13 0.01 0.28 0.07
 -------- 01:00 0.12 0.01 0.27 0.06
 -------- 02:00 0.10 0.01 0.27 0.04
 21.12.12 03:00 0.10 0.01 0.26 0.05
 -------- 04:00 0.10 0.01 0.25 0.03
 -------- 05:00 0.08 0.01 0.25 0.03
 -------- 06:00 0.13 0.01 0.25 0.05
 -------- 07:00 0.13 0.01 0.25 0.05
 21.12.12 08:00 0.14 0.01 0.26 0.08
 -------- 09:00 0.11 0.01 0.26 0.10
 -------- 10:00 0.14 0.01 0.27 0.11
 -------- 11:00 0.13 0.02 0.26 0.12
 -------- 12:00 0.15 0.03 0.25 0.13
 21.12.12 13:00 0.14 0.03 0.25 0.13
 -------- 14:00 0.15 0.03 0.26 0.15
 -------- 15:00 0.15 0.02 0.27 0.15
 -------- 16:00 0.14 0.02 0.28 0.13
 -------- 17:00 0.25 0.01 0.33 0.24
 21.12.12 18:00 0.23 0.01 0.34 0.27
 -------- 19:00 0.15 0.01 0.30 0.15
 -------- 20:00 0.12 0.01 0.27 0.08
 -------- 21:00 0.09 0.01 0.27 0.07
 -------- 22:00 0.29 0.01 0.27 0.06
 21.12.12 23:00 0.09 0.01 0.27 0.04
 -------- 00:00 0.08 0.01 0.28 0.04
 -------- 01:00 0.08 0.01 0.28 0.03
