 Date Time CO OZ NO2 NO
 07.01.13 12:00 0.08 0.13 0.10 0.03
 -------- 13:00 0.06 0.13 0.09 0.03
 -------- 14:00 0.07 0.12 0.08 0.02
 -------- 15:00 0.06 0.13 0.08 0.02
 -------- 16:00 0.07 0.12 0.08 0.03
 07.01.13 17:00 0.07 0.11 0.10 0.03
 -------- 18:00 0.09 0.09 0.11 0.04
 -------- 19:00 0.08 0.10 0.09 0.03
 -------- 20:00 0.08 0.11 0.10 0.02
 -------- 21:00 0.08 0.11 0.10 0.03
 07.01.13 22:00 0.08 0.12 0.10 0.02
 -------- 23:00 0.07 0.13 0.09 0.03
 -------- 00:00 0.08 0.11 0.11 0.04
 -------- 01:00 0.08 0.12 0.10 0.03
 -------- 02:00 0.07 0.14 0.08 0.02
 08.01.13 03:00 0.07 0.15 0.07 0.02
 -------- 04:00 0.07 0.14 0.07 0.02
 -------- 05:00 0.07 0.14 0.06 0.02
 -------- 06:00 0.06 0.13 0.07 0.02
 -------- 07:00 0.07 0.11 0.10 0.02
 08.01.13 08:00 0.08 0.07 0.12 0.02
 -------- 09:00 0.09 0.06 0.13 0.04
 -------- 10:00 0.08 0.06 0.13 0.05
 -------- 11:00 0.09 0.06 0.13 0.05
 -------- 12:00 0.11 0.07 0.12 0.06
 08.01.13 13:00 0.11 0.07 0.12 0.07
 -------- 14:00 0.11 0.06 0.13 0.07
 -------- 15:00 0.11 0.07 0.10 0.05
 -------- 16:00 0.09 0.07 0.10 0.04
 -------- 17:00 0.11 0.06 0.12 0.05
 08.01.13 18:00 0.11 0.04 0.14 0.08
 -------- 19:00 0.11 0.03 0.15 0.06
 -------- 20:00 0.11 0.03 0.14 0.06
 -------- 21:00 0.11 0.04 0.13 0.06
 -------- 22:00 0.11 0.04 0.14 0.05
 08.01.13 23:00 0.08 0.06 0.13 0.03
 -------- 00:00 0.08 0.09 0.12 0.03
 -------- 01:00 0.06 0.12 0.10 0.02
 -------- 02:00 0.05 0.16 0.09 0.02
 -------- 03:00 0.04 0.18 0.06 0.01
 09.01.13 04:00 0.04 0.19 0.06 0.01
 -------- 05:00 0.06 0.16 0.09 0.02
 -------- 06:00 0.07 0.14 0.10 0.03
 -------- 07:00 0.09 0.11 0.14 0.04
 -------- 08:00 0.09 0.11 0.15 0.06
 09.01.13 09:00 0.11 0.11 0.18 0.07
 -------- 10:00 0.09 0.09 0.17 0.06
 -------- 11:00 0.10 0.08 0.18 0.08
