 Date Time CO OZ NO2 NO
 05.12.12 00:00 ---- 0.17 0.09 0.01
 -------- 01:00 ---- 0.18 0.08 0.02
 -------- 02:00 ---- 0.21 0.07 0.01
 -------- 03:00 ---- 0.16 0.12 0.01
 -------- 04:00 ---- 0.18 0.09 0.01
 05.12.12 05:00 ---- 0.21 0.08 0.01
 -------- 06:00 ---- 0.19 0.09 0.02
 -------- 07:00 ---- 0.15 0.15 0.04
 -------- 08:00 ---- 0.12 0.20 0.05
 -------- 09:00 0.02 0.11 0.23 0.08
 05.12.12 10:00 0.02 0.07 0.27 0.10
 -------- 11:00 0.02 0.10 0.25 0.09
 -------- 12:00 0.04 0.08 0.29 0.16
 -------- 13:00 0.06 0.10 0.26 0.13
 -------- 14:00 0.05 0.12 0.21 0.09
 05.12.12 15:00 0.05 0.11 0.24 0.11
 -------- 16:00 0.09 0.07 0.30 0.15
 -------- 17:00 ---- 0.03 0.34 0.18
 -------- 18:00 0.02 0.01 0.37 0.23
 -------- 19:00 0.26 0.01 0.38 0.25
 05.12.12 20:00 0.16 0.01 0.39 0.22
 -------- 21:00 0.09 0.01 0.38 0.18
 -------- 22:00 0.05 0.01 0.37 0.19
 -------- 23:00 0.02 0.01 0.38 0.18
 -------- 00:00 ---- 0.01 0.35 0.13
 06.12.12 01:00 ---- ---- 0.33 0.13
 -------- 02:00 ---- 0.01 0.34 0.13
 -------- 03:00 ---- 0.01 0.32 0.08
 -------- 04:00 ---- 0.01 0.33 0.11
 -------- 05:00 ---- 0.01 0.32 0.13
 06.12.12 06:00 ---- 0.01 0.30 0.13
 -------- 07:00 ---- 0.01 0.30 0.17
 -------- 08:00 ---- 0.01 0.32 0.20
 -------- 09:00 ---- 0.01 0.32 0.18
 -------- 10:00 ---- 0.01 0.31 0.13
 06.12.12 11:00 ---- 0.01 0.27 0.12
 -------- 12:00 ---- 0.02 0.27 0.10
 -------- 13:00 ---- 0.02 0.27 0.12
 -------- 14:00 ---- 0.01 0.29 0.14
 -------- 15:00 0.06 0.01 0.29 0.14
 06.12.12 16:00 ---- 0.01 0.28 0.11
 -------- 17:00 ---- 0.01 0.27 0.06
 -------- 18:00 ---- 0.01 0.26 0.05
 -------- 19:00 ---- 0.03 0.22 0.03
 -------- 20:00 ---- 0.02 0.22 0.03
 06.12.12 21:00 ---- 0.02 0.23 0.03
 -------- 22:00 ---- 0.02 0.21 0.02
 -------- 23:00 ---- 0.03 0.20 0.02
