 Date Time CO OZ NO2 NO
 09.10.12 12:00 0.11 0.09 0.22 0.08
 -------- 13:00 0.10 0.13 0.20 0.07
 -------- 14:00 0.09 0.15 0.17 0.04
 -------- 15:00 0.10 0.10 0.23 0.08
 -------- 16:00 0.07 0.11 0.20 0.05
 09.10.12 17:00 0.09 0.12 0.20 0.06
 -------- 18:00 0.07 0.11 0.19 0.04
 -------- 19:00 0.10 0.12 0.19 0.05
 -------- 20:00 0.07 0.12 0.16 0.02
 -------- 21:00 0.09 0.12 0.18 0.06
 09.10.12 22:00 0.11 0.12 0.19 0.07
 -------- 23:00 0.09 0.09 0.21 0.06
 -------- 00:00 0.06 0.11 0.17 0.03
 -------- 01:00 0.05 0.12 0.15 0.03
 -------- 02:00 0.03 0.16 0.12 0.02
 10.10.12 03:00 0.02 0.18 0.11 0.01
 -------- 04:00 0.02 0.15 0.14 0.01
 -------- 05:00 0.03 0.14 0.14 0.02
 -------- 06:00 0.05 0.11 0.19 0.05
 -------- 07:00 0.14 0.03 0.27 0.13
 10.10.12 08:00 0.11 0.07 0.23 0.09
 -------- 09:00 0.21 0.03 0.29 0.18
 -------- 10:00 0.17 0.02 0.26 0.18
 -------- 11:00 0.17 0.01 0.27 0.19
 -------- 12:00 0.19 0.01 0.26 0.20
 10.10.12 13:00 0.19 0.01 0.25 0.25
 -------- 14:00 0.15 0.03 0.25 0.17
 -------- 15:00 0.14 0.03 0.26 0.14
 -------- 16:00 0.11 0.04 0.23 0.12
 -------- 17:00 0.14 0.04 0.28 0.15
 10.10.12 18:00 0.20 0.03 0.31 0.19
 -------- 19:00 0.14 0.01 0.32 0.13
 -------- 20:00 0.11 0.05 0.26 0.07
 -------- 21:00 0.10 0.05 0.28 0.07
 -------- 22:00 0.09 0.08 0.25 0.06
 10.10.12 23:00 0.06 0.11 0.20 0.05
 -------- 00:00 0.05 0.07 0.22 0.05
 -------- 01:00 0.02 0.09 0.17 0.03
 -------- 02:00 0.03 0.12 0.13 0.02
 -------- 03:00 0.02 0.14 0.11 0.01
 11.10.12 04:00 ---- 0.15 0.10 0.01
 -------- 05:00 0.02 0.12 0.11 0.02
 -------- 06:00 0.07 0.09 0.15 0.04
 -------- 07:00 0.11 0.04 0.20 0.10
 -------- 08:00 0.13 0.02 0.23 0.13
 11.10.12 09:00 0.18 0.01 0.24 0.19
 -------- 10:00 0.17 0.02 0.25 0.18
 -------- 11:00 0.15 0.03 0.24 0.15
