 Date Time CO OZ NO2 NO
 19.03.13 00:00 0.03 0.20 0.14 0.02
 -------- 01:00 0.04 0.24 0.11 0.01
 -------- 02:00 0.04 0.24 0.11 0.02
 -------- 03:00 0.04 0.22 0.13 0.02
 -------- 04:00 0.04 0.23 0.13 0.02
 19.03.13 05:00 0.04 0.25 0.12 0.02
 -------- 06:00 0.04 0.30 0.11 0.02
 -------- 07:00 0.05 0.30 0.13 0.02
 -------- 08:00 0.08 0.25 0.19 0.03
 -------- 09:00 0.07 0.25 0.17 0.03
 19.03.13 10:00 0.05 0.32 0.13 0.03
 -------- 11:00 0.04 0.36 0.10 0.02
 -------- 12:00 0.07 0.36 0.09 0.03
 -------- 13:00 0.06 0.36 0.10 0.03
 -------- 14:00 0.07 0.36 0.12 0.05
 19.03.13 15:00 0.07 0.36 0.14 0.04
 -------- 16:00 0.07 0.33 0.14 0.03
 -------- 17:00 0.08 0.36 0.13 0.04
 -------- 18:00 0.10 0.28 0.19 0.05
 -------- 19:00 0.08 0.30 0.16 0.02
 19.03.13 20:00 0.10 0.26 0.21 0.04
 -------- 21:00 0.09 0.24 0.21 0.03
 -------- 22:00 0.12 0.21 0.22 0.03
 -------- 23:00 0.11 0.17 0.27 0.06
 -------- 00:00 0.05 0.17 0.24 0.03
 20.03.13 01:00 0.05 0.23 0.18 0.02
 -------- 02:00 0.04 0.25 0.17 0.02
 -------- 03:00 0.04 0.22 0.19 0.03
 -------- 04:00 0.04 0.21 0.20 0.03
 -------- 05:00 0.04 0.17 0.22 0.02
 20.03.13 06:00 0.06 0.14 0.25 0.03
 -------- 07:00 0.09 0.07 0.31 0.05
 -------- 08:00 0.12 0.03 0.33 0.07
 -------- 09:00 0.14 0.04 0.35 0.12
 -------- 10:00 0.11 0.16 0.23 0.05
 20.03.13 11:00 0.06 0.26 0.15 0.03
 -------- 12:00 0.02 0.28 0.14 0.04
 -------- 13:00 ---- 0.29 0.14 0.03
 -------- 14:00 0.02 0.31 0.13 0.03
 -------- 15:00 0.02 0.31 0.14 0.03
 20.03.13 16:00 0.02 0.28 0.17 0.03
 -------- 17:00 0.04 0.30 0.15 0.02
 -------- 18:00 0.02 0.31 0.15 0.02
 -------- 19:00 ---- 0.34 0.14 0.02
 -------- 20:00 0.02 0.32 0.15 0.02
 20.03.13 21:00 ---- 0.30 0.15 0.02
 -------- 22:00 0.09 0.28 0.14 0.02
 -------- 23:00 0.02 0.27 0.14 0.02
