 Date Time OZ NO2 NO
 28.09.12 00:00 0.01 0.32 0.04
 -------- 01:00 0.02 0.32 0.03
 -------- 02:00 0.09 0.24 0.02
 -------- 03:00 0.10 0.23 0.01
 -------- 04:00 0.12 0.21 0.01
 28.09.12 05:00 0.19 0.18 0.01
 -------- 06:00 0.19 0.19 0.02
 -------- 07:00 0.14 0.24 0.02
 -------- 08:00 0.04 0.36 0.09
 -------- 09:00 0.07 0.34 0.07
 28.09.12 10:00 0.10 0.32 0.07
 -------- 11:00 0.10 0.32 0.08
 -------- 12:00 0.12 0.32 0.07
 -------- 13:00 0.19 0.25 0.04
 -------- 14:00 0.21 0.29 0.06
 28.09.12 15:00 0.25 0.26 0.04
 -------- 16:00 0.23 0.30 0.04
 -------- 17:00 0.19 0.34 0.03
 -------- 18:00 0.17 0.36 0.03
 -------- 19:00 0.18 0.35 0.02
 28.09.12 20:00 0.15 0.38 0.02
 -------- 21:00 0.17 0.32 0.03
 -------- 22:00 0.19 0.18 0.05
 -------- 23:00 0.18 0.16 0.04
 -------- 00:00 0.22 0.12 0.03
 29.09.12 01:00 0.21 0.09 0.02
 -------- 02:00 0.22 0.08 0.02
 -------- 03:00 0.20 0.07 0.02
 -------- 04:00 0.20 0.07 0.02
 -------- 05:00 0.15 0.11 0.02
 29.09.12 06:00 0.12 0.14 0.03
 -------- 07:00 0.10 0.16 0.04
 -------- 08:00 0.08 0.18 0.07
 -------- 09:00 0.10 0.16 0.05
 -------- 10:00 0.13 0.16 0.06
 29.09.12 11:00 0.15 0.14 0.06
 -------- 12:00 0.22 0.09 0.04
 -------- 13:00 0.23 0.12 0.04
 -------- 14:00 0.23 0.14 0.05
 -------- 15:00 0.26 0.11 0.03
 29.09.12 16:00 0.25 0.12 0.04
 -------- 17:00 0.24 0.15 0.04
 -------- 18:00 0.21 0.16 0.04
 -------- 19:00 0.17 0.20 0.06
 -------- 20:00 0.14 0.21 0.05
 29.09.12 21:00 0.07 0.27 0.09
 -------- 22:00 0.01 0.32 0.10
 -------- 23:00 0.01 0.31 0.14
