 Date Time CO OZ NO2 NO PM10
 03.10.12 12:00 0.08 0.02 0.20 0.03 0.06
 -------- 13:00 0.07 0.03 0.19 0.03 0.06
 -------- 14:00 0.08 0.02 0.20 0.03 0.06
 -------- 15:00 0.08 0.02 0.20 0.04 0.06
 -------- 16:00 0.12 ---- 0.24 0.08 0.08
 03.10.12 17:00 0.09 ---- 0.24 0.05 0.08
 -------- 18:00 0.10 ---- 0.25 0.06 0.10
 -------- 19:00 0.12 ---- 0.25 0.08 0.10
 -------- 20:00 0.13 ---- 0.24 0.09 0.11
 -------- 21:00 0.08 0.01 0.21 0.02 0.09
 03.10.12 22:00 0.09 0.01 0.23 0.04 0.09
 -------- 23:00 0.09 ---- 0.23 0.04 0.09
 -------- 00:00 0.15 ---- 0.23 0.10 0.09
 -------- 01:00 0.11 ---- 0.23 0.07 0.09
 -------- 02:00 0.15 ---- 0.21 0.13 0.09
 04.10.12 03:00 0.14 ---- 0.23 0.16 0.08
 -------- 04:00 0.16 ---- 0.25 0.23 0.12
 -------- 05:00 0.15 ---- 0.24 0.24 0.14
 -------- 06:00 0.13 ---- 0.22 0.17 0.15
 -------- 07:00 0.12 ---- 0.20 0.16 0.11
 04.10.12 08:00 0.14 ---- 0.21 0.24 0.12
 -------- 09:00 0.14 ---- 0.22 0.21 0.14
 -------- 10:00 0.12 0.01 0.21 0.14 0.20
 -------- 11:00 0.11 0.01 0.19 0.08 0.15
 -------- 12:00 0.13 0.01 0.21 0.10 0.14
 04.10.12 13:00 0.14 0.01 0.27 0.11 0.15
 -------- 14:00 0.11 0.05 0.26 0.05 0.13
 -------- 15:00 0.09 0.10 0.23 0.02 0.14
 -------- 16:00 0.08 0.16 0.18 0.02 0.13
 -------- 17:00 0.08 0.14 0.21 0.01 0.12
 04.10.12 18:00 0.08 0.13 0.23 0.01 0.10
 -------- 19:00 0.09 0.08 0.28 0.01 0.11
 -------- 20:00 0.08 0.06 0.24 0.02 0.11
 -------- 21:00 0.09 0.03 0.27 0.02 0.10
 -------- 22:00 0.08 0.05 0.22 0.01 0.05
 04.10.12 23:00 0.04 0.11 0.17 0.01 0.01
