 Date Time CO OZ NO2 NO PM10 PM2.5
 26.02.13 00:00 0.06 0.21 0.25 0.00 0.05 ----
 -------- 01:00 0.06 0.18 0.28 0.00 0.05 ----
 -------- 02:00 0.06 0.21 0.24 0.00 0.05 ----
 -------- 03:00 0.06 0.17 0.29 0.01 0.04 ----
 -------- 04:00 0.06 0.17 0.28 0.01 0.04 ----
 26.02.13 05:00 0.06 0.21 0.22 0.00 0.04 ----
 -------- 06:00 0.06 0.15 0.29 0.00 0.04 ----
 -------- 07:00 0.09 0.03 0.46 0.02 0.05 ----
 -------- 08:00 0.14 0.03 0.47 0.04 0.05 ----
 -------- 09:00 0.14 0.05 0.47 0.05 0.05 ----
 26.02.13 10:00 0.12 0.08 0.43 0.07 0.05 ----
 -------- 11:00 0.08 0.13 0.36 0.06 0.06 ----
 -------- 12:00 0.10 0.15 0.35 0.08 0.09 ----
 -------- 13:00 0.08 0.18 0.31 0.05 0.10 ----
 -------- 14:00 0.07 0.22 0.27 0.04 0.09 ----
 26.02.13 15:00 0.06 0.27 0.21 0.02 0.08 ----
 -------- 16:00 0.07 0.30 0.19 0.02 0.07 ----
 -------- 17:00 0.06 0.29 0.20 0.01 0.07 ----
 -------- 18:00 0.06 0.26 0.24 0.01 0.07 ----
 -------- 19:00 0.08 0.16 0.36 0.01 0.08 ----
 26.02.13 20:00 0.06 0.23 0.26 0.01 0.08 ----
 -------- 21:00 0.07 0.16 0.34 0.01 0.08 ----
 -------- 22:00 0.05 0.25 0.23 0.00 0.07 ----
 -------- 23:00 0.04 0.26 0.21 0.00 0.06 ----
 -------- 00:00 0.05 0.29 0.18 0.00 0.05 ----
 27.02.13 01:00 0.04 0.31 0.15 0.00 0.05 ----
 -------- 02:00 0.04 0.33 0.13 0.00 0.04 ----
 -------- 03:00 0.04 0.31 0.14 0.00 0.04 ----
 -------- 04:00 0.04 0.29 0.15 0.00 0.04 ----
 -------- 05:00 0.04 0.29 0.15 ---- 0.03 ----
 27.02.13 06:00 0.04 0.27 0.17 0.00 0.04 ----
 -------- 07:00 0.04 0.28 0.15 0.00 0.05 ----
 -------- 08:00 0.05 0.24 0.19 0.01 0.04 ----
 -------- 09:00 0.06 0.21 0.22 0.01 0.05 ----
 -------- 10:00 0.06 0.18 0.26 0.01 0.05 ----
 27.02.13 11:00 0.06 0.17 0.28 0.02 0.05 ----
 -------- 12:00 0.06 0.16 0.26 0.02 0.04 ----
 -------- 13:00 0.06 0.17 0.24 0.02 0.04 ----
 -------- 14:00 0.07 0.17 0.21 0.01 0.03 ----
 -------- 15:00 0.06 0.16 0.23 0.02 0.04 ----
 27.02.13 16:00 0.05 0.16 0.24 0.01 0.03 ----
 -------- 17:00 0.07 0.17 0.24 0.02 0.02 ----
 -------- 18:00 0.07 0.17 0.26 0.01 0.02 ----
 -------- 19:00 0.06 0.17 0.25 0.01 0.02 ----
 -------- 20:00 0.07 0.16 0.26 0.01 0.04 ----
 27.02.13 21:00 0.07 0.15 0.26 0.01 0.04 ----
 -------- 22:00 0.07 0.16 0.25 0.01 0.06 ----
 -------- 23:00 0.09 0.03 0.41 0.02 0.12 ----
