 Date Time CO OZ NO2 NO PM10
 24.11.12 00:00 0.06 0.01 0.26 0.04 0.15
 -------- 01:00 0.04 0.03 0.22 0.02 0.09
 -------- 02:00 0.04 0.03 0.22 0.02 0.08
 -------- 03:00 0.04 0.03 0.21 0.02 0.06
 -------- 04:00 0.04 0.03 0.20 0.01 0.07
 24.11.12 05:00 0.04 0.03 0.19 0.01 0.06
 -------- 06:00 0.04 0.02 0.19 0.01 0.07
 -------- 07:00 0.04 ---- 0.21 0.02 0.07
 -------- 08:00 0.05 ---- 0.21 0.04 0.07
 -------- 09:00 0.06 ---- 0.22 0.06 0.08
 24.11.12 10:00 0.07 ---- 0.21 0.08 0.11
 -------- 11:00 0.08 ---- 0.22 0.11 0.14
 -------- 12:00 0.06 ---- 0.21 0.09 0.13
 -------- 13:00 0.06 0.01 0.21 0.09 0.14
 -------- 14:00 0.07 ---- 0.22 0.10 0.15
 24.11.12 15:00 0.08 ---- 0.24 0.11 0.17
 -------- 16:00 0.08 ---- 0.25 0.13 0.17
 -------- 17:00 0.09 ---- 0.26 0.15 0.18
 -------- 18:00 0.11 ---- 0.27 0.16 0.21
 -------- 19:00 0.12 ---- 0.26 0.16 0.19
 24.11.12 20:00 0.11 ---- 0.26 0.18 0.16
 -------- 21:00 0.12 ---- 0.29 0.28 0.18
 -------- 22:00 0.12 ---- 0.29 0.25 0.20
 -------- 23:00 0.11 ---- 0.28 0.21 0.22
 -------- 00:00 0.09 ---- 0.27 0.17 0.16
 25.11.12 01:00 0.09 ---- 0.27 0.15 0.12
 -------- 02:00 0.08 ---- 0.25 0.11 0.12
 -------- 03:00 0.07 ---- 0.23 0.07 0.11
 -------- 04:00 0.06 ---- 0.23 0.05 0.09
 -------- 05:00 0.06 ---- 0.23 0.05 0.08
 25.11.12 06:00 0.06 ---- 0.23 0.07 0.08
 -------- 07:00 0.06 ---- 0.22 0.04 0.08
 -------- 08:00 0.08 ---- 0.24 0.07 0.09
 -------- 09:00 0.11 ---- 0.23 0.07 0.12
 -------- 10:00 0.09 ---- 0.23 0.10 0.12
 25.11.12 11:00 0.07 0.01 0.22 0.09 0.12
 -------- 12:00 0.07 0.01 0.23 0.09 0.13
 -------- 13:00 0.06 0.01 0.23 0.10 0.13
 -------- 14:00 0.08 0.01 0.23 0.10 0.15
 -------- 15:00 0.08 0.01 0.24 0.10 0.14
 25.11.12 16:00 0.08 ---- 0.24 0.09 0.13
 -------- 17:00 0.08 ---- 0.26 0.09 0.11
 -------- 18:00 0.08 ---- 0.25 0.06 0.10
 -------- 19:00 0.06 ---- 0.25 0.09 0.11
 -------- 20:00 0.06 ---- 0.23 0.06 0.14
 25.11.12 21:00 0.06 ---- 0.24 0.06 0.14
 -------- 22:00 0.07 ---- 0.24 0.05 0.14
 -------- 23:00 0.08 ---- 0.24 0.06 0.14
