 Date Time CO OZ NO2 NO PM10
 11.12.12 00:00 0.04 0.14 0.13 0.01 0.02
 -------- 01:00 0.04 0.14 0.13 0.01 0.02
 -------- 02:00 0.04 0.16 0.11 0.01 0.02
 -------- 03:00 0.04 0.17 0.11 0.01 0.03
 -------- 04:00 0.04 0.19 0.10 0.00 0.03
 11.12.12 05:00 0.04 0.19 0.11 0.01 0.02
 -------- 06:00 0.04 0.15 0.16 0.01 0.03
 -------- 07:00 0.05 0.15 0.15 0.01 0.04
 -------- 08:00 0.06 0.15 0.17 0.01 0.03
 -------- 09:00 0.06 0.14 0.18 0.01 0.03
 11.12.12 10:00 0.06 0.14 0.20 0.02 0.03
 -------- 11:00 0.06 0.11 0.22 0.02 0.04
 -------- 12:00 0.07 0.09 0.24 0.03 0.04
 -------- 13:00 0.07 0.08 0.24 0.03 0.04
 -------- 14:00 0.06 0.11 0.19 0.02 0.03
 11.12.12 15:00 0.07 0.07 0.25 0.02 0.03
 -------- 16:00 0.08 0.05 0.30 0.04 0.05
 -------- 17:00 0.06 0.07 0.25 0.02 0.05
 -------- 18:00 0.07 0.10 0.24 0.02 0.04
 -------- 19:00 0.06 0.03 0.32 0.05 0.04
 11.12.12 20:00 0.06 ---- 0.33 0.09 0.05
 -------- 21:00 0.07 ---- 0.30 0.10 0.04
 -------- 22:00 0.08 ---- 0.29 0.08 0.04
 -------- 23:00 0.08 0.01 0.29 0.06 0.04
 -------- 00:00 0.07 ---- 0.31 0.10 0.05
 12.12.12 01:00 0.07 ---- 0.30 0.07 0.05
 -------- 02:00 0.06 ---- 0.31 0.08 0.04
 -------- 04:00 0.05 ---- 0.27 0.06 0.04
 -------- 05:00 0.06 ---- 0.31 0.07 0.04
 -------- 06:00 0.05 ---- 0.31 0.08 0.04
 12.12.12 07:00 0.04 ---- 0.30 0.09 0.04
 -------- 08:00 0.07 ---- 0.33 0.11 0.06
 -------- 09:00 0.07 ---- 0.31 0.12 0.06
 -------- 10:00 0.08 ---- 0.30 0.13 0.06
 -------- 11:00 0.08 0.01 0.27 0.12 0.07
 12.12.12 12:00 0.08 0.02 0.27 0.14 0.07
 -------- 13:00 0.09 0.02 0.27 0.16 0.07
 -------- 14:00 0.08 0.02 0.27 0.13 0.07
 -------- 15:00 0.09 0.01 0.28 0.13 0.07
 -------- 16:00 0.08 0.01 0.30 0.15 0.07
 12.12.12 17:00 0.09 ---- 0.32 0.11 0.09
 -------- 18:00 0.09 0.01 0.29 0.05 0.07
 -------- 19:00 0.09 0.01 0.29 0.06 0.06
 -------- 20:00 0.07 0.01 0.27 0.04 0.05
 -------- 21:00 0.08 ---- 0.28 0.08 0.05
 12.12.12 22:00 0.07 0.01 0.27 0.05 0.05
 -------- 23:00 0.06 0.02 0.25 0.04 0.05
