 Date Time CO OZ NO2 NO PM10
 15.12.12 12:00 0.11 0.02 0.28 0.13 0.09
 -------- 13:00 0.11 0.02 0.29 0.15 0.09
 -------- 14:00 0.10 0.03 0.28 0.12 0.08
 -------- 15:00 0.10 0.02 0.30 0.11 0.08
 -------- 16:00 0.09 0.01 0.31 0.09 0.08
 15.12.12 17:00 0.08 0.02 0.31 0.04 0.07
 -------- 18:00 0.08 0.01 0.33 0.05 0.08
 -------- 19:00 0.09 ---- 0.33 0.06 0.08
 -------- 20:00 0.10 ---- 0.33 0.08 0.07
 -------- 21:00 0.10 ---- 0.33 0.10 0.07
 15.12.12 22:00 0.09 0.01 0.30 0.08 0.07
 -------- 23:00 0.06 0.02 0.26 0.04 0.06
 -------- 00:00 0.06 0.02 0.24 0.03 0.06
 -------- 01:00 0.06 0.03 0.23 0.03 0.05
 -------- 02:00 0.06 0.02 0.23 0.03 0.05
 16.12.12 03:00 0.06 0.01 0.24 0.03 0.05
 -------- 04:00 0.06 0.01 0.23 0.03 0.05
 -------- 05:00 0.06 0.01 0.24 0.03 0.05
 -------- 06:00 0.06 ---- 0.26 0.04 0.06
 -------- 07:00 0.06 ---- 0.26 0.04 0.06
 16.12.12 08:00 0.07 ---- 0.26 0.05 0.06
 -------- 09:00 0.08 ---- 0.28 0.08 0.07
 -------- 10:00 0.08 0.02 0.26 0.07 0.06
 -------- 11:00 0.08 0.03 0.22 0.05 0.06
 -------- 12:00 0.08 0.04 0.23 0.07 0.06
 16.12.12 13:00 0.08 0.06 0.23 0.06 0.06
 -------- 14:00 0.08 0.05 0.24 0.06 0.06
 -------- 15:00 0.08 0.05 0.25 0.06 0.06
 -------- 16:00 0.11 0.02 0.32 0.08 0.08
 -------- 17:00 0.12 ---- 0.35 0.13 0.09
 16.12.12 18:00 0.11 ---- 0.34 0.09 0.08
 -------- 19:00 0.10 ---- 0.35 0.09 0.08
 -------- 20:00 0.11 ---- 0.36 0.12 0.10
 -------- 21:00 0.11 ---- 0.36 0.11 0.09
 -------- 22:00 0.12 ---- 0.36 0.10 0.09
 16.12.12 23:00 0.11 ---- 0.34 0.09 0.09
 -------- 00:00 0.10 ---- 0.33 0.08 0.08
 -------- 01:00 0.10 ---- 0.33 0.08 0.08
 -------- 02:00 0.10 ---- 0.33 0.10 0.09
 -------- 03:00 0.10 ---- 0.33 0.09 0.10
 17.12.12 04:00 0.10 ---- 0.34 0.12 0.11
 -------- 05:00 0.11 ---- 0.36 0.19 0.10
 -------- 06:00 0.09 ---- 0.36 0.15 0.12
 -------- 07:00 0.08 ---- 0.36 0.13 0.08
 -------- 08:00 0.12 ---- 0.37 0.20 0.08
 17.12.12 09:00 0.12 ---- 0.36 0.16 0.08
 -------- 10:00 0.11 0.01 0.36 0.11 0.05
 -------- 11:00 0.27 ---- 0.49 0.51 0.20
