 Date Time CO OZ NO2 NO PM10
 24.01.13 12:00 0.08 0.01 0.38 0.11 0.04
 -------- 13:00 0.08 0.02 0.37 0.09 0.05
 -------- 14:00 0.06 0.05 0.30 0.04 0.03
 -------- 15:00 0.06 0.08 0.28 0.04 0.04
 -------- 16:00 0.06 0.06 0.30 0.03 0.04
 24.01.13 17:00 0.05 0.09 0.28 0.02 0.03
 -------- 18:00 0.07 0.11 0.27 0.03 0.03
 -------- 19:00 0.06 0.11 0.28 0.04 0.03
 -------- 20:00 0.05 0.09 0.30 0.03 0.03
 -------- 21:00 0.06 0.08 0.35 0.05 0.03
 24.01.13 22:00 0.05 0.05 0.40 0.09 0.03
 -------- 23:00 0.05 0.11 0.31 0.05 0.03
 -------- 00:00 0.05 0.09 0.32 0.04 0.03
 -------- 01:00 0.05 0.06 0.34 0.04 0.02
 -------- 02:00 0.05 0.11 0.27 0.02 0.02
 25.01.13 03:00 0.04 0.12 0.25 0.03 0.02
 -------- 04:00 0.04 0.08 0.28 0.02 0.02
 -------- 05:00 0.04 0.10 0.25 0.02 0.03
 -------- 06:00 0.04 0.06 0.32 0.03 0.03
 -------- 07:00 0.05 0.09 0.25 0.01 0.03
 25.01.13 08:00 0.05 0.09 0.25 0.01 0.03
 -------- 09:00 0.06 0.09 0.25 0.01 0.02
 -------- 10:00 0.05 0.11 0.22 0.01 0.02
 -------- 11:00 0.05 0.09 0.25 0.03 0.03
 -------- 12:00 0.07 0.10 0.24 0.05 0.04
 25.01.13 13:00 0.06 0.11 0.25 0.05 0.03
 -------- 14:00 0.07 0.09 0.28 0.08 0.03
 -------- 15:00 0.07 0.09 0.28 0.06 0.04
 -------- 16:00 0.06 0.09 0.28 0.05 0.04
 -------- 17:00 0.06 0.08 0.29 0.03 0.03
 25.01.13 18:00 0.06 0.08 0.28 0.02 0.03
 -------- 19:00 0.07 0.05 0.34 0.04 0.03
 -------- 20:00 0.06 0.05 0.31 0.02 0.04
 -------- 21:00 0.06 0.05 0.30 0.02 0.04
 -------- 22:00 0.06 0.02 0.33 0.04 0.04
 25.01.13 23:00 0.06 0.02 0.32 0.04 0.03
 -------- 00:00 0.06 0.03 0.31 0.03 0.04
 -------- 01:00 0.05 0.04 0.28 0.02 0.03
 -------- 02:00 0.05 0.02 0.32 0.03 0.03
 -------- 03:00 0.04 0.04 0.28 0.02 0.03
 26.01.13 04:00 0.04 0.02 0.31 0.03 0.03
 -------- 05:00 0.04 0.06 0.26 0.01 0.04
 -------- 06:00 0.04 0.06 0.24 0.01 0.04
 -------- 07:00 0.06 0.05 0.27 0.01 0.02
 -------- 08:00 0.09 0.04 0.31 0.03 0.03
 26.01.13 09:00 0.10 ---- 0.37 0.09 0.04
 -------- 10:00 0.10 0.01 0.35 0.09 0.05
 -------- 11:00 0.08 0.04 0.34 0.10 0.04
