 Date Time CO OZ NO2 NO PM10 PM2.5
 22.12.12 00:00 0.10 ---- 0.33 0.09 0.08 ----
 -------- 01:00 0.09 ---- 0.32 0.07 0.07 ----
 -------- 02:00 0.08 ---- 0.32 0.07 0.07 ----
 -------- 03:00 0.08 ---- 0.33 0.07 0.08 ----
 -------- 04:00 0.09 ---- 0.33 0.07 0.07 ----
 22.12.12 05:00 0.09 ---- 0.34 0.06 0.07 ----
 -------- 06:00 0.08 ---- 0.34 0.05 0.06 ----
 -------- 07:00 0.08 ---- 0.34 0.06 0.06 ----
 -------- 08:00 0.08 ---- 0.35 0.05 0.06 ----
 -------- 09:00 0.08 ---- 0.35 0.05 0.06 ----
 22.12.12 10:00 0.08 0.01 0.35 0.05 0.06 ----
 -------- 11:00 0.08 0.02 0.32 0.05 0.07 ----
 -------- 12:00 0.09 0.03 0.32 0.06 0.07 ----
 -------- 13:00 0.09 0.04 0.34 0.09 0.09 ----
 -------- 14:00 0.12 0.03 0.37 0.10 0.10 ----
 22.12.12 15:00 0.12 0.02 0.39 0.11 0.12 ----
 -------- 16:00 0.10 0.01 0.38 0.07 0.10 ----
 -------- 17:00 0.09 0.03 0.35 0.03 0.08 ----
 -------- 18:00 0.09 0.03 0.33 0.02 0.07 ----
 -------- 19:00 0.09 0.01 0.35 0.03 0.07 ----
 22.12.12 20:00 0.08 0.04 0.33 0.02 0.08 ----
 -------- 21:00 0.07 0.07 0.28 0.01 0.07 ----
 -------- 22:00 0.07 0.08 0.25 0.01 0.06 ----
 -------- 23:00 0.06 0.10 0.21 0.01 0.04 ----
 -------- 00:00 0.08 0.02 0.30 0.03 0.06 ----
 23.12.12 01:00 0.08 0.01 0.32 0.04 0.06 ----
 -------- 02:00 0.09 ---- 0.33 0.06 0.07 ----
 -------- 03:00 0.09 ---- 0.33 0.06 0.07 ----
 -------- 04:00 0.08 ---- 0.32 0.05 0.06 ----
 -------- 05:00 0.08 0.01 0.31 0.04 0.05 ----
 23.12.12 06:00 0.08 ---- 0.32 0.04 0.06 ----
 -------- 07:00 0.08 ---- 0.33 0.04 0.06 ----
 -------- 08:00 0.08 0.01 0.34 0.04 0.06 ----
 -------- 09:00 0.10 0.01 0.36 0.06 0.08 ----
 -------- 10:00 0.12 ---- 0.36 0.09 0.09 ----
 23.12.12 11:00 0.13 0.01 0.35 0.13 0.14 ----
 -------- 12:00 0.13 0.02 0.34 0.12 0.15 ----
 -------- 13:00 0.14 0.02 0.37 0.15 0.13 ----
 -------- 14:00 0.15 0.02 0.40 0.17 0.11 ----
 -------- 15:00 0.19 0.01 0.42 0.19 0.14 ----
 23.12.12 16:00 0.15 0.01 0.41 0.14 0.11 ----
 -------- 17:00 0.13 ---- 0.42 0.10 0.09 ----
 -------- 18:00 0.13 ---- 0.44 0.12 0.08 ----
 -------- 19:00 0.13 ---- 0.42 0.10 0.07 ----
 -------- 20:00 0.13 ---- 0.40 0.07 0.07 ----
 23.12.12 21:00 0.12 ---- 0.41 0.08 0.07 ----
 -------- 22:00 0.11 0.01 0.40 0.07 0.06 ----
 -------- 23:00 0.15 ---- 0.44 0.16 0.08 ----
