 Date Time CO OZ NO2 NO PM10
 31.03.13 12:00 0.06 0.17 0.24 0.02 0.06
 -------- 13:00 0.06 0.20 0.18 0.02 0.05
 -------- 14:00 0.06 0.19 0.19 0.02 0.05
 -------- 15:00 0.06 0.22 0.17 0.01 0.04
 -------- 16:00 0.06 0.23 0.19 0.01 0.04
 31.03.13 17:00 0.06 0.26 0.15 0.01 0.04
 -------- 18:00 0.06 0.33 0.15 0.01 0.05
 -------- 19:00 0.07 0.30 0.19 0.01 0.06
 -------- 20:00 0.07 0.22 0.24 0.00 0.06
 -------- 21:00 0.09 0.17 0.30 0.01 0.06
 31.03.13 22:00 0.09 0.11 0.37 0.01 0.06
 -------- 23:00 0.10 0.06 0.44 0.02 0.07
 -------- 00:00 0.08 0.12 0.35 0.01 0.06
 -------- 01:00 0.09 0.05 0.44 0.02 0.06
 -------- 02:00 0.09 0.04 0.47 0.03 0.05
 01.04.13 03:00 0.08 0.08 0.35 0.00 0.05
 -------- 04:00 0.07 0.04 0.40 0.02 0.05
 -------- 05:00 0.07 0.07 0.33 0.01 0.05
 -------- 06:00 0.08 0.01 0.39 0.03 0.06
 -------- 07:00 0.08 0.02 0.39 0.03 0.05
 01.04.13 08:00 0.09 0.04 0.36 0.04 0.05
 -------- 09:00 0.09 0.05 0.35 0.04 0.05
 -------- 10:00 0.08 0.06 0.31 0.04 0.04
 -------- 11:00 0.07 0.09 0.25 0.03 0.02
 -------- 12:00 0.08 0.04 0.32 0.06 0.02
 01.04.13 13:00 0.07 0.07 0.29 0.05 0.03
 -------- 14:00 0.07 0.04 0.35 0.11 0.06
 -------- 15:00 0.08 0.01 0.39 0.15 0.08
 -------- 16:00 0.08 0.04 0.35 0.08 0.09
 -------- 17:00 0.08 0.05 0.32 0.04 0.09
 01.04.13 18:00 0.10 0.02 0.36 0.05 0.09
 -------- 19:00 0.12 0.01 0.38 0.07 0.08
 -------- 20:00 0.12 0.01 0.40 0.06 0.08
 -------- 21:00 0.12 ---- 0.42 0.07 0.09
 -------- 22:00 0.12 0.01 0.46 0.09 0.08
 01.04.13 23:00 0.14 ---- 0.50 0.13 0.08
 -------- 00:00 0.13 ---- 0.51 0.13 0.08
 -------- 01:00 0.11 0.01 0.47 0.06 0.08
 -------- 02:00 0.07 0.09 0.34 0.02 0.07
 -------- 03:00 0.04 0.19 0.18 0.01 0.07
 02.04.13 04:00 0.04 0.20 0.16 0.01 0.06
 -------- 05:00 0.04 0.17 0.18 0.00 0.05
 -------- 06:00 0.05 0.09 0.29 0.01 0.05
 -------- 07:00 0.07 0.06 0.32 0.01 0.04
 -------- 08:00 0.08 0.09 0.29 0.02 0.04
 02.04.13 09:00 0.08 0.11 0.27 0.03 0.04
 -------- 10:00 0.08 0.15 0.25 0.03 0.04
 -------- 11:00 0.08 0.22 0.20 0.02 0.03
