 Date Time CO OZ NO2 NO PM10
 09.10.12 00:00 0.06 0.05 0.22 0.01 0.09
 -------- 01:00 0.06 0.04 0.21 0.01 0.66
 -------- 02:00 0.05 0.06 0.18 0.00 0.05
 -------- 03:00 0.04 0.08 0.14 0.00 0.02
 -------- 04:00 0.04 0.09 0.14 0.00 0.01
 09.10.12 05:00 0.04 0.10 0.13 ---- 0.01
 -------- 06:00 0.04 0.12 0.12 ---- 0.01
 -------- 07:00 0.05 0.08 0.16 0.01 0.00
 -------- 08:00 0.06 0.08 0.19 0.01 0.01
 -------- 09:00 0.06 0.05 0.21 0.01 0.01
 09.10.12 10:00 0.05 0.07 0.21 0.02 0.01
 -------- 11:00 0.06 0.06 0.23 0.02 0.02
 -------- 12:00 0.06 0.07 0.23 0.03 0.03
 -------- 13:00 0.06 0.06 0.25 0.03 0.03
 -------- 14:00 0.07 0.06 0.25 0.03 0.04
 09.10.12 15:00 0.06 0.07 0.25 0.03 0.03
 -------- 16:00 0.06 0.06 0.26 0.03 0.04
 -------- 17:00 0.06 0.06 0.25 0.02 0.03
 -------- 18:00 0.06 0.10 0.19 0.01 0.03
 -------- 19:00 0.06 0.11 0.17 0.00 0.04
 09.10.12 20:00 0.05 0.10 0.16 0.01 0.03
 -------- 21:00 0.04 0.12 0.14 0.01 0.01
 -------- 22:00 0.04 0.15 0.11 0.00 0.01
 -------- 23:00 0.04 0.14 0.12 0.00 0.01
 -------- 00:00 0.04 0.13 0.13 0.01 0.01
 10.10.12 01:00 0.04 0.13 0.12 0.00 0.01
 -------- 02:00 0.04 0.11 0.11 0.00 0.01
 -------- 03:00 0.02 0.15 0.10 0.01 0.01
 -------- 04:00 0.02 0.15 0.10 ---- 0.01
 -------- 05:00 0.03 0.10 0.13 0.01 0.02
 10.10.12 06:00 0.04 0.05 0.19 0.01 0.03
 -------- 07:00 0.04 0.08 0.18 0.01 0.02
 -------- 08:00 0.06 0.06 0.20 0.02 0.02
 -------- 09:00 0.07 0.02 0.25 0.05 0.06
 -------- 10:00 0.08 0.01 0.24 0.06 0.06
 10.10.12 11:00 0.08 0.01 0.22 0.06 0.06
 -------- 12:00 0.08 0.01 0.20 0.06 0.06
 -------- 13:00 0.07 0.04 0.18 0.05 0.06
 -------- 14:00 0.06 0.05 0.19 0.03 0.06
 -------- 15:00 0.07 0.06 0.20 0.03 0.04
 10.10.12 16:00 0.07 0.06 0.22 0.03 0.03
 -------- 17:00 0.07 0.07 0.22 0.03 0.03
 -------- 18:00 0.08 0.06 0.24 0.02 0.04
 -------- 19:00 0.07 0.06 0.25 0.02 0.04
 -------- 20:00 0.06 0.08 0.23 0.01 0.03
 10.10.12 21:00 0.06 0.09 0.23 0.01 0.03
 -------- 22:00 0.06 0.09 0.21 0.01 0.03
 -------- 23:00 0.06 0.07 0.22 0.01 0.04
