 Date Time CO OZ NO2 NO PM10
 14.03.13 00:00 0.08 ---- 0.55 0.05 0.08
 -------- 01:00 0.08 ---- 0.55 0.05 0.09
 -------- 02:00 0.08 ---- 0.55 0.05 0.09
 -------- 03:00 0.07 ---- 0.54 0.06 0.08
 -------- 04:00 0.06 ---- 0.52 0.04 0.08
 14.03.13 05:00 0.07 0.01 0.51 0.04 0.08
 -------- 06:00 0.08 0.03 0.52 0.03 0.08
 -------- 07:00 0.15 0.02 0.50 0.03 0.08
 -------- 08:00 0.11 0.01 0.56 0.10 0.10
 -------- 09:00 0.13 0.01 0.58 0.16 0.12
 14.03.13 10:00 0.10 0.03 0.54 0.12 0.10
 -------- 11:00 0.11 0.03 0.54 0.15 0.12
 -------- 12:00 0.11 0.05 0.48 0.13 0.10
 -------- 13:00 0.10 0.07 0.45 0.10 0.08
 -------- 14:00 0.10 0.06 0.48 0.12 0.09
 14.03.13 15:00 0.10 0.05 0.53 0.14 0.10
 -------- 16:00 0.12 0.02 0.58 0.14 0.11
 -------- 17:00 0.12 0.02 0.58 0.11 0.11
 -------- 18:00 0.09 0.14 0.34 0.02 0.06
 -------- 19:00 0.08 0.14 0.34 0.01 0.06
 14.03.13 20:00 0.09 0.09 0.40 0.02 0.06
 -------- 21:00 0.08 0.12 0.37 0.02 0.07
 -------- 22:00 0.09 0.08 0.42 0.03 0.08
 -------- 23:00 0.07 0.12 0.37 0.02 0.08
 -------- 00:00 0.13 0.02 0.49 0.04 0.08
 15.03.13 01:00 0.08 0.01 0.49 0.04 0.08
 -------- 02:00 0.08 0.01 0.47 0.04 0.08
 -------- 03:00 0.08 0.01 0.44 0.05 0.07
 -------- 04:00 0.15 0.02 0.41 0.04 0.07
 -------- 05:00 0.08 0.01 0.42 0.04 0.07
 15.03.13 06:00 0.08 ---- 0.43 0.03 0.07
 -------- 07:00 0.09 0.01 0.44 0.05 0.09
 -------- 08:00 0.12 ---- 0.48 0.16 0.11
 -------- 09:00 0.11 0.01 0.44 0.12 0.10
 -------- 10:00 0.12 0.02 0.42 0.11 0.09
 15.03.13 11:00 0.12 0.02 0.39 0.10 0.09
 -------- 12:00 0.13 0.02 0.39 0.12 0.10
 -------- 13:00 0.10 0.04 0.35 0.08 0.09
 -------- 14:00 0.10 0.06 0.31 0.06 0.06
 -------- 15:00 0.09 0.07 0.29 0.04 0.06
 15.03.13 16:00 0.08 0.08 0.28 0.03 0.05
 -------- 17:00 0.08 0.10 0.27 0.02 0.04
 -------- 18:00 0.08 0.11 0.26 0.01 0.03
 -------- 19:00 0.08 0.12 0.26 0.01 0.04
 -------- 20:00 0.08 0.09 0.27 0.01 0.02
 15.03.13 21:00 0.08 0.08 0.27 0.01 0.01
 -------- 22:00 0.08 0.04 0.33 0.01 0.02
 -------- 23:00 0.09 0.02 0.38 0.05 0.04
