 Date Time CO OZ NO2 NO PM10
 05.01.13 00:00 0.08 ---- 0.27 0.04 0.03
 -------- 01:00 0.07 0.03 0.24 0.02 0.03
 -------- 02:00 0.09 ---- 0.28 0.09 0.04
 -------- 03:00 0.10 ---- 0.27 0.08 0.05
 -------- 04:00 0.09 ---- 0.25 0.08 0.06
 05.01.13 05:00 0.11 ---- 0.26 0.19 0.04
 -------- 06:00 0.08 0.01 0.30 0.15 0.02
 -------- 07:00 0.06 0.01 0.24 0.01 0.02
 -------- 08:00 0.09 0.01 0.26 0.10 0.03
 -------- 09:00 0.08 ---- 0.26 0.06 0.04
 05.01.13 10:00 0.08 0.03 0.27 0.02 0.04
 -------- 11:00 0.06 0.06 0.26 0.02 0.03
 -------- 12:00 0.07 0.09 0.23 0.01 0.04
 -------- 13:00 0.08 0.03 0.25 0.03 0.04
 -------- 14:00 0.07 0.03 0.22 0.03 0.03
 05.01.13 15:00 0.06 0.05 0.19 0.02 0.03
 -------- 16:00 0.05 0.09 0.15 0.01 0.03
 -------- 17:00 0.06 0.07 0.16 0.00 0.02
 -------- 18:00 0.06 0.05 0.20 0.01 0.02
 -------- 19:00 0.07 0.02 0.23 0.02 0.02
 05.01.13 20:00 0.07 0.03 0.22 0.01 0.02
 -------- 21:00 0.07 0.04 0.21 0.01 0.02
 -------- 22:00 0.06 0.06 0.17 0.01 0.02
 -------- 23:00 0.05 0.07 0.17 0.03 0.02
 -------- 00:00 0.07 0.06 0.20 0.06 0.02
 06.01.13 01:00 0.05 0.06 0.18 0.02 0.02
 -------- 02:00 0.05 0.07 0.16 0.01 0.03
 -------- 03:00 0.06 0.06 0.18 0.04 0.02
 -------- 04:00 0.05 0.05 0.19 0.02 0.02
 -------- 05:00 0.04 0.05 0.17 0.01 0.02
 06.01.13 06:00 0.04 0.05 0.18 0.02 0.02
 -------- 07:00 0.04 0.04 0.17 0.01 0.02
 -------- 08:00 0.05 0.03 0.18 0.02 0.03
 -------- 09:00 0.05 0.03 0.19 0.03 0.03
 -------- 10:00 0.05 0.02 0.19 0.02 0.03
 06.01.13 11:00 0.06 0.02 0.18 0.03 0.04
 -------- 12:00 0.06 0.03 0.16 0.03 0.04
 -------- 13:00 0.06 0.03 0.17 0.04 0.03
 -------- 14:00 0.07 0.04 0.18 0.03 0.03
 -------- 15:00 0.06 0.04 0.18 0.02 0.03
 06.01.13 16:00 0.06 0.06 0.18 0.02 0.03
 -------- 17:00 0.05 0.08 0.15 0.01 0.02
 -------- 18:00 0.06 0.08 0.15 0.01 0.02
 -------- 19:00 0.06 0.06 0.17 0.01 0.03
 -------- 20:00 0.06 0.04 0.18 0.01 0.03
 06.01.13 21:00 0.06 0.04 0.18 0.01 0.03
 -------- 22:00 0.06 0.04 0.18 0.01 0.02
 -------- 23:00 0.06 0.05 0.17 0.01 0.02
