 Date Time CO OZ NO2 NO PM10
 31.01.13 00:00 0.06 0.01 0.33 0.03 0.05
 -------- 01:00 0.06 0.01 0.32 0.03 0.05
 -------- 02:00 0.06 0.04 0.28 0.02 0.04
 -------- 03:00 0.04 0.09 0.21 0.01 0.04
 -------- 04:00 0.04 0.07 0.23 0.01 0.04
 31.01.13 05:00 0.04 0.07 0.23 0.01 0.04
 -------- 06:00 0.05 0.04 0.26 0.01 0.04
 -------- 07:00 0.06 0.03 0.29 0.02 0.04
 -------- 08:00 0.08 ---- 0.32 0.05 0.05
 -------- 09:00 0.08 0.01 0.32 0.05 0.05
 31.01.13 10:00 0.08 0.01 0.30 0.06 0.05
 -------- 11:00 0.07 0.02 0.29 0.06 0.06
 -------- 12:00 0.08 0.03 0.28 0.06 0.05
 -------- 13:00 0.08 0.05 0.27 0.05 0.05
 -------- 14:00 0.06 0.07 0.27 0.05 0.05
 31.01.13 15:00 0.08 0.08 0.26 0.05 0.05
 -------- 16:00 0.07 0.09 0.26 0.03 0.05
 -------- 17:00 0.08 0.07 0.29 0.02 0.05
 -------- 18:00 0.07 0.08 0.29 0.02 0.05
 -------- 19:00 0.08 0.07 0.30 0.03 0.06
 31.01.13 20:00 0.08 0.07 0.28 0.02 0.06
 -------- 21:00 0.08 0.06 0.29 0.02 0.05
 -------- 22:00 0.08 0.05 0.29 0.02 0.06
 -------- 23:00 0.08 0.06 0.26 0.02 0.06
 -------- 00:00 0.06 0.07 0.23 0.02 0.06
 01.02.13 01:00 0.06 0.07 0.21 0.01 0.07
 -------- 02:00 0.06 0.04 0.25 0.03 0.06
 -------- 03:00 0.06 0.02 0.28 0.03 0.07
 -------- 04:00 0.06 0.02 0.27 0.03 0.07
 -------- 05:00 0.06 0.03 0.24 0.02 0.09
 01.02.13 06:00 0.06 0.02 0.25 0.03 0.09
 -------- 07:00 0.07 0.02 0.26 0.03 0.08
 -------- 08:00 0.08 0.01 0.27 0.04 0.08
 -------- 09:00 0.08 0.01 0.29 0.05 0.08
 -------- 10:00 0.09 0.01 0.29 0.06 0.09
 01.02.13 11:00 0.09 0.02 0.29 0.06 0.09
 -------- 12:00 0.10 0.01 0.30 0.08 0.10
 -------- 13:00 0.10 0.02 0.30 0.10 0.10
 -------- 14:00 0.10 0.03 0.30 0.09 0.10
 -------- 15:00 0.11 0.01 0.33 0.11 0.12
 01.02.13 16:00 0.11 0.01 0.35 0.10 0.12
 -------- 17:00 0.09 0.01 0.33 0.07 0.11
 -------- 18:00 0.09 0.01 0.33 0.05 0.11
 -------- 19:00 0.11 ---- 0.35 0.07 0.09
 -------- 20:00 0.11 ---- 0.35 0.07 0.09
 01.02.13 21:00 0.10 0.01 0.34 0.05 0.08
 -------- 22:00 0.10 0.01 0.34 0.06 0.08
 -------- 23:00 0.10 ---- 0.34 0.07 0.08
