 Date Time CO OZ NO2 NO PM10
 13.04.13 00:00 0.14 ---- 0.70 0.08 0.20
 -------- 01:00 0.15 ---- 0.69 0.13 0.22
 -------- 02:00 0.15 ---- 0.68 0.14 0.20
 -------- 03:00 0.16 ---- 0.68 0.17 0.20
 -------- 04:00 0.13 ---- 0.64 0.10 0.18
 13.04.13 05:00 0.11 ---- 0.61 0.06 0.17
 -------- 06:00 0.10 0.01 0.60 0.05 0.17
 -------- 07:00 0.08 0.04 0.53 0.04 0.16
 -------- 08:00 0.10 0.05 0.54 0.09 0.18
 -------- 09:00 0.10 0.07 0.51 0.10 0.18
 13.04.13 10:00 0.10 0.12 0.45 0.07 0.16
 -------- 11:00 0.07 0.21 0.35 0.04 0.17
 -------- 12:00 0.05 0.35 0.17 0.01 0.11
 -------- 13:00 0.04 0.36 0.16 0.01 0.11
 -------- 14:00 0.04 0.39 0.14 0.01 0.10
 13.04.13 15:00 0.05 0.38 0.17 0.01 0.11
 -------- 16:00 0.06 0.38 0.20 0.01 0.11
 -------- 17:00 0.06 0.38 0.19 0.01 0.11
 -------- 18:00 0.06 0.37 0.20 0.01 0.11
 -------- 19:00 0.06 0.36 0.22 0.01 0.09
 13.04.13 20:00 0.07 0.33 0.23 0.00 0.10
 -------- 21:00 0.09 0.16 0.43 0.01 0.14
 -------- 22:00 0.11 0.11 0.49 0.01 0.15
 -------- 23:00 0.08 0.22 0.34 0.01 0.12
 -------- 00:00 0.09 0.15 0.39 0.01 0.13
 14.04.13 01:00 0.10 0.07 0.51 0.02 0.14
 -------- 02:00 0.10 0.06 0.51 0.02 0.12
 -------- 03:00 0.09 0.05 0.51 0.02 0.13
 -------- 04:00 0.08 0.09 0.45 0.01 0.13
 -------- 05:00 0.06 0.16 0.35 0.00 0.10
 14.04.13 06:00 0.06 0.18 0.30 0.00 0.10
 -------- 07:00 0.06 0.19 0.29 0.00 0.12
 -------- 08:00 0.06 0.20 0.28 0.01 0.10
 -------- 09:00 0.06 0.22 0.26 0.01 0.11
 -------- 10:00 0.06 0.25 0.24 0.02 0.12
 14.04.13 11:00 0.06 0.29 0.22 0.02 0.15
 -------- 12:00 0.06 0.34 0.19 0.01 0.16
 -------- 13:00 0.06 0.39 0.16 0.01 0.15
 -------- 14:00 0.06 0.39 0.19 0.01 0.16
 -------- 15:00 0.05 0.43 0.17 0.01 0.14
 14.04.13 16:00 0.05 0.46 0.15 0.01 0.13
 -------- 17:00 0.05 0.47 0.13 0.00 0.11
 -------- 18:00 0.06 0.43 0.17 0.01 0.12
 -------- 19:00 0.06 0.37 0.23 0.00 0.13
 -------- 20:00 0.09 0.26 0.40 0.00 0.18
 14.04.13 21:00 0.09 0.22 0.42 0.00 0.17
 -------- 22:00 0.12 0.07 0.60 0.01 0.20
 -------- 23:00 0.12 0.06 0.58 0.01 0.19
