 Date Time CO OZ NO2 NO PM10
 12.12.12 00:00 0.07 ---- 0.31 0.10 0.05
 -------- 01:00 0.07 ---- 0.30 0.07 0.05
 -------- 02:00 0.06 ---- 0.31 0.08 0.04
 -------- 04:00 0.05 ---- 0.27 0.06 0.04
 -------- 05:00 0.06 ---- 0.31 0.07 0.04
 12.12.12 06:00 0.05 ---- 0.31 0.08 0.04
 -------- 07:00 0.04 ---- 0.30 0.09 0.04
 -------- 08:00 0.07 ---- 0.33 0.11 0.06
 -------- 09:00 0.07 ---- 0.31 0.12 0.06
 -------- 10:00 0.08 ---- 0.30 0.13 0.06
 12.12.12 11:00 0.08 0.01 0.27 0.12 0.07
 -------- 12:00 0.08 0.02 0.27 0.14 0.07
 -------- 13:00 0.09 0.02 0.27 0.16 0.07
 -------- 14:00 0.08 0.02 0.27 0.13 0.07
 -------- 15:00 0.09 0.01 0.28 0.13 0.07
 12.12.12 16:00 0.08 0.01 0.30 0.15 0.07
 -------- 17:00 0.09 ---- 0.32 0.11 0.09
 -------- 18:00 0.09 0.01 0.29 0.05 0.07
 -------- 19:00 0.09 0.01 0.29 0.06 0.06
 -------- 20:00 0.07 0.01 0.27 0.04 0.05
 12.12.12 21:00 0.08 ---- 0.28 0.08 0.05
 -------- 22:00 0.07 0.01 0.27 0.05 0.05
 -------- 23:00 0.06 0.02 0.25 0.04 0.05
 -------- 00:00 0.06 0.01 0.26 0.05 0.04
 -------- 01:00 0.04 0.03 0.24 0.03 0.04
 13.12.12 02:00 0.04 0.04 0.21 0.02 0.04
 -------- 03:00 0.04 0.06 0.21 0.03 0.04
 -------- 04:00 0.03 0.07 0.20 0.02 0.04
 -------- 05:00 0.02 0.12 0.16 0.01 0.06
 -------- 06:00 0.03 0.10 0.19 0.02 0.06
 13.12.12 07:00 0.04 0.09 0.22 0.02 0.05
 -------- 08:00 0.05 0.07 0.26 0.03 0.04
 -------- 09:00 0.04 0.06 0.27 0.03 0.05
 -------- 10:00 0.04 0.09 0.23 0.02 0.06
 -------- 11:00 0.06 0.08 0.26 0.04 0.06
 13.12.12 12:00 0.05 0.12 0.20 0.03 0.06
 -------- 13:00 0.04 0.13 0.19 0.02 0.07
 -------- 14:00 0.05 0.10 0.24 0.03 0.07
 -------- 15:00 0.06 0.10 0.25 0.03 0.07
 -------- 16:00 0.06 0.07 0.30 0.04 0.08
 13.12.12 17:00 0.06 0.06 0.30 0.03 0.07
 -------- 18:00 0.06 0.08 0.27 0.02 0.06
 -------- 19:00 0.06 0.11 0.24 0.02 0.05
 -------- 20:00 0.05 0.11 0.22 0.02 0.05
 -------- 21:00 0.04 0.08 0.25 0.02 0.05
 13.12.12 22:00 0.05 0.06 0.27 0.02 0.05
 -------- 23:00 0.04 0.06 0.26 0.02 0.05
