 Date Time CO OZ NO2 NO PM10
 27.03.13 12:00 0.05 0.22 0.20 0.04 0.04
 -------- 13:00 0.04 0.25 0.16 0.03 0.03
 -------- 14:00 0.04 0.30 0.12 0.02 0.02
 -------- 15:00 0.04 0.31 0.12 0.02 0.02
 -------- 16:00 0.04 0.32 0.13 0.02 0.03
 27.03.13 17:00 0.04 0.31 0.16 0.02 0.03
 -------- 18:00 0.04 0.30 0.17 0.01 0.04
 -------- 19:00 0.04 0.30 0.17 0.01 0.03
 -------- 20:00 0.05 0.23 0.24 0.00 0.03
 -------- 21:00 0.19 0.12 0.39 0.04 0.04
 27.03.13 22:00 0.07 0.08 0.46 0.01 0.04
 -------- 23:00 0.07 0.06 0.47 0.02 0.05
 -------- 00:00 0.10 ---- 0.60 0.11 0.07
 -------- 01:00 0.09 ---- 0.60 0.10 0.08
 -------- 02:00 0.08 ---- 0.59 0.09 0.06
 28.03.13 03:00 0.07 ---- 0.59 0.09 0.06
 -------- 04:00 0.06 ---- 0.58 0.11 0.06
 -------- 05:00 0.06 0.01 0.54 0.09 0.05
 -------- 06:00 0.05 0.03 0.45 0.03 0.04
 -------- 07:00 0.08 0.02 0.45 0.03 0.04
 28.03.13 08:00 0.12 0.02 0.52 0.16 0.06
 -------- 09:00 0.11 0.06 0.43 0.11 0.05
 -------- 10:00 0.10 0.08 0.41 0.12 0.06
 -------- 11:00 0.08 0.13 0.32 0.08 0.05
 -------- 12:00 0.07 0.20 0.23 0.05 0.04
 28.03.13 13:00 0.04 0.26 0.14 0.02 0.02
 -------- 14:00 0.04 0.29 0.11 0.01 0.02
 -------- 15:00 0.04 0.29 0.14 0.02 0.03
 -------- 16:00 0.04 0.30 0.13 0.01 0.03
 -------- 17:00 0.04 0.30 0.14 0.01 0.03
 28.03.13 18:00 0.05 0.30 0.16 0.01 0.03
 -------- 19:00 0.05 0.28 0.20 0.02 0.03
 -------- 20:00 0.06 0.21 0.28 0.01 0.04
 -------- 21:00 0.08 0.14 0.39 0.01 0.04
 -------- 22:00 0.09 0.03 0.53 0.03 0.05
 28.03.13 23:00 0.07 0.06 0.49 0.02 0.05
 -------- 00:00 0.07 0.05 0.48 0.03 0.04
 -------- 01:00 0.08 ---- 0.56 0.07 0.06
 -------- 02:00 0.07 0.01 0.54 0.05 0.05
 -------- 03:00 0.07 ---- 0.55 0.07 0.05
 29.03.13 04:00 0.06 ---- 0.54 0.05 0.05
 -------- 05:00 0.07 ---- 0.56 0.08 0.07
 -------- 06:00 0.06 ---- 0.54 0.06 0.04
 -------- 07:00 0.09 0.01 0.54 0.06 0.04
 -------- 08:00 0.11 0.02 0.55 0.13 0.05
 29.03.13 09:00 0.14 0.03 0.57 0.18 0.07
 -------- 10:00 0.12 0.05 0.53 0.16 0.06
 -------- 11:00 0.11 0.07 0.52 0.15 0.07
