 Date Time CO NO2 NO PM10
 18.09.12 12:00 0.12 0.31 0.19 0.08
 -------- 13:00 0.10 0.26 0.14 0.05
 -------- 14:00 0.08 0.21 0.09 0.03
 -------- 15:00 0.06 0.23 0.07 0.05
 -------- 16:00 0.06 0.22 0.06 0.05
 18.09.12 17:00 0.06 0.23 0.05 0.05
 -------- 18:00 0.07 0.25 0.05 0.06
 -------- 19:00 0.08 0.25 0.05 0.06
 -------- 20:00 0.10 0.31 0.07 0.08
 -------- 21:00 0.11 0.32 0.10 0.08
 18.09.12 22:00 0.13 0.33 0.12 0.09
 -------- 23:00 0.12 0.32 0.12 0.08
 -------- 00:00 0.10 0.30 0.11 0.07
 -------- 01:00 0.10 0.29 0.12 0.06
 -------- 02:00 0.11 0.29 0.14 0.06
 19.09.12 03:00 0.13 0.30 0.21 0.08
 -------- 04:00 0.13 0.29 0.26 0.07
 -------- 05:00 0.10 0.28 0.25 0.07
 -------- 06:00 0.12 0.29 0.29 0.15
 -------- 07:00 0.13 0.29 0.28 0.16
 19.09.12 08:00 0.16 0.30 0.28 0.14
 -------- 09:00 0.22 0.31 0.30 0.17
 -------- 10:00 0.19 0.32 0.27 0.17
 -------- 11:00 0.15 0.32 0.20 0.14
 -------- 12:00 0.11 0.25 0.13 0.09
 19.09.12 13:00 0.08 0.22 0.08 0.07
 -------- 14:00 0.07 0.23 0.06 0.07
 -------- 15:00 0.07 0.24 0.05 0.08
 -------- 16:00 0.06 0.25 0.04 0.07
 -------- 17:00 0.07 0.25 0.04 0.08
 19.09.12 18:00 0.08 0.26 0.04 0.08
 -------- 19:00 0.10 0.31 0.05 0.09
 -------- 20:00 0.13 0.38 0.09 0.11
 -------- 21:00 0.15 0.40 0.13 0.12
 -------- 22:00 0.17 0.40 0.14 0.14
 19.09.12 23:00 0.14 0.36 0.12 0.13
 -------- 00:00 0.12 0.34 0.11 0.12
 -------- 01:00 0.11 0.32 0.10 0.12
 -------- 02:00 0.10 0.30 0.10 0.12
 -------- 03:00 0.10 0.30 0.12 0.11
 20.09.12 04:00 0.08 0.28 0.11 0.10
 -------- 05:00 0.08 0.28 0.12 0.11
 -------- 06:00 0.08 0.29 0.13 0.13
 -------- 07:00 0.11 0.30 0.16 0.12
 -------- 08:00 0.13 0.32 0.21 0.15
 20.09.12 09:00 0.18 0.32 0.23 0.17
 -------- 10:00 0.18 0.34 0.24 0.18
 -------- 11:00 0.15 0.36 0.17 0.17
