 Date Time CO OZ NO2 NO PM10
 19.10.12 00:00 0.08 ---- 0.20 0.05 0.03
 -------- 01:00 0.06 ---- 0.19 0.03 0.02
 -------- 02:00 0.07 ---- 0.19 0.03 0.03
 -------- 03:00 0.07 ---- 0.20 0.05 0.03
 -------- 04:00 0.06 ---- 0.19 0.05 0.04
 19.10.12 05:00 0.07 ---- 0.19 0.06 0.03
 -------- 06:00 0.07 ---- 0.19 0.08 0.03
 -------- 07:00 0.10 ---- 0.20 0.16 0.04
 -------- 08:00 0.15 ---- 0.24 0.29 0.07
 -------- 09:00 0.21 ---- 0.26 0.35 0.09
 19.10.12 10:00 0.19 ---- 0.27 0.33 0.09
 -------- 11:00 0.12 ---- 0.24 0.18 0.05
 -------- 12:00 0.12 ---- 0.26 0.17 0.07
 -------- 13:00 0.14 ---- 0.26 0.19 0.09
 -------- 14:00 0.11 ---- 0.26 0.14 0.08
 19.10.12 15:00 0.11 ---- 0.26 0.11 0.08
 -------- 16:00 0.08 0.01 0.26 0.07 0.05
 -------- 17:00 0.09 0.01 0.26 0.06 0.04
 -------- 18:00 0.08 0.01 0.28 0.04 0.06
 -------- 19:00 0.08 0.01 0.28 0.03 0.05
 19.10.12 20:00 0.07 0.04 0.23 0.02 0.04
 -------- 21:00 0.06 0.04 0.21 0.02 0.04
 -------- 22:00 0.06 0.05 0.20 0.02 0.04
 -------- 23:00 0.06 0.05 0.19 0.02 0.04
 -------- 00:00 0.06 0.04 0.20 0.02 0.03
 20.10.12 01:00 0.06 0.05 0.19 0.01 0.03
 -------- 02:00 0.05 0.05 0.20 0.01 0.04
 -------- 03:00 0.05 0.06 0.19 0.01 0.04
 -------- 04:00 0.04 0.08 0.16 0.01 0.03
 -------- 05:00 0.04 0.11 0.13 0.00 0.02
 20.10.12 06:00 0.04 0.08 0.17 0.00 0.03
