 Date Time CO OZ NO2 NO PM10
 30.09.12 12:00 0.05 0.15 0.15 0.01 0.03
 -------- 13:00 0.04 0.18 0.13 0.01 0.03
 -------- 14:00 0.04 0.19 0.11 0.01 0.04
 -------- 15:00 0.04 0.22 0.09 0.00 0.03
 -------- 16:00 0.04 0.21 0.10 0.01 0.04
 30.09.12 17:00 0.05 0.15 0.16 0.01 0.05
 -------- 18:00 0.07 0.06 0.26 0.02 0.04
 -------- 19:00 0.08 0.07 0.23 0.01 0.04
 -------- 20:00 0.07 0.04 0.24 0.02 0.03
 -------- 21:00 0.07 0.03 0.24 0.01 0.03
 30.09.12 22:00 0.05 0.09 0.16 0.01 0.02
 -------- 23:00 0.04 0.14 0.10 0.00 0.02
 -------- 00:00 0.04 0.13 0.12 0.00 0.02
 -------- 01:00 0.04 0.17 0.09 0.00 0.01
 -------- 02:00 0.04 0.19 0.06 ---- 0.02
 01.10.12 03:00 0.04 0.19 0.06 0.00 0.02
 -------- 04:00 0.03 0.20 0.05 ---- 0.02
 -------- 05:00 0.04 0.21 0.05 0.00 0.02
 -------- 06:00 0.04 0.18 0.07 0.00 0.02
 -------- 07:00 0.04 0.15 0.10 0.00 0.02
 01.10.12 08:00 0.05 0.12 0.15 0.01 0.03
 -------- 09:00 0.06 0.11 0.16 0.01 0.03
 -------- 10:00 0.05 0.14 0.13 0.01 0.03
 -------- 11:00 0.04 0.17 0.11 0.01 0.04
 -------- 12:00 0.04 0.18 0.09 0.01 0.05
 01.10.12 13:00 0.04 0.17 0.10 0.01 0.04
 -------- 14:00 0.03 0.18 0.09 0.01 0.04
 -------- 15:00 0.04 0.17 0.11 0.01 0.05
 -------- 16:00 0.04 0.15 0.13 0.01 0.04
 -------- 17:00 0.04 0.17 0.10 0.01 0.03
 01.10.12 18:00 0.04 0.16 0.12 0.01 0.03
 -------- 19:00 0.04 0.16 0.12 0.01 0.03
 -------- 20:00 0.05 0.09 0.21 0.01 0.04
 -------- 21:00 0.10 0.01 0.31 0.03 0.06
 -------- 22:00 0.12 ---- 0.32 0.08 0.08
 01.10.12 23:00 0.11 ---- 0.31 0.08 0.07
 -------- 00:00 0.09 ---- 0.29 0.07 0.06
 -------- 01:00 0.08 0.01 0.26 0.05 0.05
 -------- 02:00 0.06 0.01 0.24 0.03 0.04
 -------- 03:00 0.04 0.01 0.21 0.02 0.05
 02.10.12 04:00 0.04 0.01 0.21 0.02 0.05
 -------- 05:00 0.05 ---- 0.22 0.03 0.04
 -------- 06:00 0.06 ---- 0.23 0.07 0.05
 -------- 07:00 0.10 ---- 0.23 0.11 0.05
 -------- 08:00 0.17 ---- 0.27 0.27 0.08
 02.10.12 09:00 0.23 ---- 0.31 0.33 0.11
 -------- 10:00 0.23 ---- 0.34 0.34 0.15
 -------- 11:00 0.14 0.02 0.31 0.17 0.13
