 Date Time CO OZ NO2 NO PM10
 23.10.12 12:00 0.08 0.02 0.29 0.07 0.06
 -------- 13:00 0.08 0.02 0.27 0.06 0.07
 -------- 14:00 0.06 0.02 0.25 0.05 0.06
 -------- 15:00 0.07 0.03 0.26 0.05 0.05
 -------- 16:00 0.07 0.01 0.26 0.06 0.07
 23.10.12 17:00 0.06 0.01 0.27 0.05 0.07
 -------- 18:00 0.07 0.01 0.28 0.05 0.07
 -------- 19:00 0.07 0.02 0.28 0.03 0.05
 -------- 20:00 0.06 0.01 0.27 0.03 0.06
 -------- 21:00 0.05 0.02 0.25 0.01 0.07
 23.10.12 22:00 0.06 0.03 0.26 0.02 0.07
 -------- 23:00 0.07 0.04 0.22 0.02 0.05
 -------- 00:00 0.06 0.03 0.24 0.02 0.06
 -------- 01:00 0.06 0.02 0.24 0.01 0.05
 -------- 02:00 0.06 0.03 0.24 0.01 0.05
 24.10.12 03:00 0.05 ---- 0.26 0.02 0.05
 -------- 04:00 0.04 0.01 0.23 0.01 0.05
 -------- 05:00 0.05 ---- 0.25 0.02 0.06
 -------- 06:00 0.05 0.01 0.24 0.02 0.05
 -------- 07:00 0.07 ---- 0.25 0.07 0.08
 24.10.12 08:00 0.08 ---- 0.25 0.07 0.07
 -------- 09:00 0.08 ---- 0.25 0.06 0.08
 -------- 10:00 0.09 0.01 0.27 0.07 0.09
 -------- 11:00 0.09 0.01 0.26 0.07 0.08
 -------- 12:00 0.08 0.01 0.27 0.06 0.07
 24.10.12 13:00 0.07 0.04 0.22 0.03 0.05
 -------- 14:00 0.07 0.06 0.19 0.03 0.06
 -------- 15:00 0.06 0.06 0.20 0.02 0.05
 -------- 16:00 0.07 0.05 0.19 0.02 0.07
 -------- 17:00 0.06 0.04 0.20 0.02 0.06
 24.10.12 18:00 0.07 0.09 0.17 0.01 0.04
 -------- 19:00 0.06 0.10 0.16 0.01 0.03
 -------- 20:00 0.07 0.05 0.22 0.02 0.04
 -------- 21:00 0.07 0.04 0.22 0.02 0.05
 -------- 22:00 0.08 0.01 0.28 0.04 0.06
 24.10.12 23:00 0.07 0.01 0.26 0.03 0.05
 -------- 00:00 0.06 0.01 0.25 0.02 0.04
 -------- 01:00 0.05 0.03 0.22 0.02 0.03
 -------- 02:00 0.04 0.04 0.19 0.01 0.02
 -------- 03:00 0.04 0.06 0.18 0.01 0.02
 25.10.12 04:00 0.04 0.09 0.14 0.00 0.02
 -------- 05:00 0.03 0.08 0.15 0.00 0.02
 -------- 06:00 0.04 0.07 0.16 0.00 0.02
 -------- 07:00 0.04 0.04 0.21 0.01 0.02
 -------- 08:00 0.05 0.03 0.23 0.02 0.04
 25.10.12 09:00 0.06 0.04 0.23 0.03 0.04
 -------- 10:00 0.06 0.05 0.23 0.03 0.05
 -------- 11:00 0.06 0.07 0.21 0.03 0.05
