 Date Time CO OZ NO2 NO PM10
 01.10.12 00:00 0.04 0.13 0.12 0.00 0.02
 -------- 01:00 0.04 0.17 0.09 0.00 0.01
 -------- 02:00 0.04 0.19 0.06 ---- 0.02
 -------- 03:00 0.04 0.19 0.06 0.00 0.02
 -------- 04:00 0.03 0.20 0.05 ---- 0.02
 01.10.12 05:00 0.04 0.21 0.05 0.00 0.02
 -------- 06:00 0.04 0.18 0.07 0.00 0.02
 -------- 07:00 0.04 0.15 0.10 0.00 0.02
 -------- 08:00 0.05 0.12 0.15 0.01 0.03
 -------- 09:00 0.06 0.11 0.16 0.01 0.03
 01.10.12 10:00 0.05 0.14 0.13 0.01 0.03
 -------- 11:00 0.04 0.17 0.11 0.01 0.04
 -------- 12:00 0.04 0.18 0.09 0.01 0.05
 -------- 13:00 0.04 0.17 0.10 0.01 0.04
 -------- 14:00 0.03 0.18 0.09 0.01 0.04
 01.10.12 15:00 0.04 0.17 0.11 0.01 0.05
 -------- 16:00 0.04 0.15 0.13 0.01 0.04
 -------- 17:00 0.04 0.17 0.10 0.01 0.03
 -------- 18:00 0.04 0.16 0.12 0.01 0.03
 -------- 19:00 0.04 0.16 0.12 0.01 0.03
 01.10.12 20:00 0.05 0.09 0.21 0.01 0.04
 -------- 21:00 0.10 0.01 0.31 0.03 0.06
 -------- 22:00 0.12 ---- 0.32 0.08 0.08
 -------- 23:00 0.11 ---- 0.31 0.08 0.07
 -------- 00:00 0.09 ---- 0.29 0.07 0.06
 02.10.12 01:00 0.08 0.01 0.26 0.05 0.05
 -------- 02:00 0.06 0.01 0.24 0.03 0.04
 -------- 03:00 0.04 0.01 0.21 0.02 0.05
 -------- 04:00 0.04 0.01 0.21 0.02 0.05
 -------- 05:00 0.05 ---- 0.22 0.03 0.04
 02.10.12 06:00 0.06 ---- 0.23 0.07 0.05
 -------- 07:00 0.10 ---- 0.23 0.11 0.05
 -------- 08:00 0.17 ---- 0.27 0.27 0.08
 -------- 09:00 0.23 ---- 0.31 0.33 0.11
 -------- 10:00 0.23 ---- 0.34 0.34 0.15
 02.10.12 11:00 0.14 0.02 0.31 0.17 0.13
 -------- 12:00 0.09 0.06 0.23 0.07 0.08
 -------- 13:00 0.06 0.11 0.18 0.03 0.05
 -------- 14:00 0.06 0.13 0.17 0.03 0.05
 -------- 15:00 0.06 0.14 0.18 0.02 0.04
 02.10.12 16:00 0.05 0.16 0.14 0.02 0.04
 -------- 17:00 0.06 0.12 0.19 0.01 0.05
 -------- 18:00 0.06 0.11 0.20 0.01 0.05
 -------- 19:00 0.08 0.07 0.24 0.01 0.05
 -------- 20:00 0.10 0.02 0.29 0.02 0.06
 02.10.12 21:00 0.11 0.01 0.30 0.05 0.05
 -------- 22:00 0.13 ---- 0.33 0.10 0.40
 -------- 23:00 0.12 ---- 0.33 0.10 0.11
