 Date Time CO OZ NO2 NO PM10
 17.02.13 00:00 0.07 0.10 0.31 0.01 0.05
 -------- 01:00 0.06 0.12 0.26 0.00 0.07
 -------- 02:00 0.05 0.16 0.20 0.00 0.06
 -------- 03:00 0.05 0.19 0.17 0.00 0.06
 -------- 04:00 0.05 0.16 0.20 0.01 0.06
 17.02.13 05:00 0.04 0.20 0.19 0.00 0.05
 -------- 06:00 0.04 0.23 0.11 0.00 0.06
 -------- 07:00 0.05 0.21 0.13 ---- 0.06
 -------- 08:00 0.06 0.16 0.21 0.00 0.06
 -------- 09:00 0.06 0.18 0.21 0.00 0.05
 17.02.13 10:00 0.06 0.16 0.20 0.01 0.07
 -------- 11:00 0.06 0.15 0.21 0.02 0.06
 -------- 12:00 0.06 0.15 0.22 0.03 0.06
 -------- 13:00 0.06 0.18 0.19 0.02 0.06
 -------- 14:00 0.07 0.17 0.21 0.03 0.07
 17.02.13 15:00 0.07 0.18 0.21 0.02 0.07
 -------- 16:00 0.06 0.16 0.23 0.02 0.06
 -------- 17:00 0.06 0.13 0.27 0.03 0.06
 -------- 18:00 0.07 0.12 0.27 0.01 0.06
 -------- 19:00 0.07 0.15 0.25 0.01 0.06
 17.02.13 20:00 0.06 0.16 0.21 0.00 0.05
 -------- 21:00 0.06 0.15 0.22 0.00 0.04
 -------- 22:00 0.06 0.17 0.19 0.00 0.04
 -------- 23:00 0.05 0.21 0.15 0.00 0.03
 -------- 00:00 0.05 0.20 0.16 0.00 0.03
 18.02.13 01:00 0.04 0.25 0.11 ---- 0.03
 -------- 02:00 0.04 0.25 0.11 0.00 0.03
 -------- 03:00 0.04 0.25 0.11 0.00 0.03
 -------- 04:00 0.04 0.22 0.16 0.00 0.03
 -------- 05:00 0.04 0.24 0.14 0.00 0.03
 18.02.13 06:00 0.04 0.24 0.13 ---- 0.03
 -------- 07:00 0.04 0.25 0.13 0.00 0.03
 -------- 08:00 0.06 0.20 0.18 0.00 0.03
 -------- 09:00 0.06 0.19 0.19 0.00 0.04
 -------- 10:00 0.06 0.16 0.23 0.01 0.04
 18.02.13 11:00 0.06 0.18 0.21 0.02 0.03
 -------- 12:00 0.06 0.17 0.22 0.02 0.03
 -------- 13:00 0.07 0.11 0.30 0.04 0.04
 -------- 14:00 0.07 0.08 0.35 0.06 0.06
 -------- 15:00 0.09 0.07 0.33 0.05 0.07
 18.02.13 16:00 0.08 0.09 0.29 0.03 0.06
 -------- 17:00 0.08 0.07 0.32 0.02 0.07
 -------- 18:00 0.09 0.05 0.34 0.02 0.07
 -------- 19:00 0.08 0.04 0.36 0.01 0.07
 -------- 20:00 0.08 0.04 0.36 0.01 0.06
 18.02.13 21:00 0.09 0.05 0.34 0.03 0.06
 -------- 22:00 0.08 0.06 0.32 0.01 0.06
 -------- 23:00 0.07 0.03 0.35 0.01 0.07
