 Date Time CO OZ NO2 NO PM10
 17.01.13 11:00 0.06 0.05 0.24 0.02 0.05
 -------- 12:00 0.06 0.08 0.21 0.02 0.05
 -------- 13:00 0.06 0.10 0.18 0.02 0.05
 -------- 14:00 0.06 0.09 0.19 0.02 0.06
 -------- 15:00 0.06 0.07 0.21 0.02 0.07
 17.01.13 16:00 0.06 0.06 0.23 0.02 0.07
 -------- 17:00 0.06 0.06 0.23 0.02 0.05
 -------- 18:00 0.06 0.07 0.21 0.01 0.04
 -------- 19:00 0.06 0.06 0.22 0.01 0.04
 -------- 20:00 0.06 0.07 0.21 0.01 0.03
 17.01.13 21:00 0.06 0.09 0.19 0.01 0.03
 -------- 22:00 0.04 0.10 0.18 0.01 0.03
 -------- 23:00 0.04 0.09 0.19 0.01 0.03
 -------- 00:00 0.04 0.10 0.18 0.01 0.03
 -------- 01:00 0.04 0.10 0.18 0.01 0.03
 18.01.13 02:00 0.04 0.11 0.17 0.01 0.03
 -------- 03:00 0.04 0.12 0.16 0.01 0.03
 -------- 04:00 0.04 0.11 0.16 0.01 0.03
 -------- 05:00 0.04 0.09 0.19 0.01 0.02
 -------- 06:00 0.04 0.08 0.20 0.01 0.03
 18.01.13 07:00 0.06 0.07 0.21 0.01 0.03
 -------- 08:00 0.06 0.07 0.21 0.01 0.03
 -------- 09:00 0.06 0.06 0.21 0.01 0.04
 -------- 10:00 0.06 0.06 0.22 0.01 0.03
 -------- 11:00 0.07 0.05 0.23 0.03 0.04
 18.01.13 12:00 0.07 0.05 0.21 0.03 0.47
 -------- 13:00 0.08 0.04 0.25 0.05 0.18
 -------- 14:00 0.07 0.06 0.21 0.04 0.09
 -------- 15:00 0.06 0.07 0.21 0.02 0.07
 -------- 16:00 0.07 0.05 0.24 0.03 0.07
 18.01.13 17:00 0.10 0.01 0.31 0.05 0.08
 -------- 18:00 0.09 0.01 0.31 0.05 0.07
 -------- 19:00 0.09 0.01 0.29 0.03 0.06
 -------- 20:00 0.08 0.01 0.29 0.03 0.06
 -------- 21:00 0.09 0.01 0.29 0.03 0.06
 18.01.13 22:00 0.09 ---- 0.30 0.03 0.06
 -------- 23:00 0.08 ---- 0.30 0.04 0.06
 -------- 00:00 0.11 ---- 0.31 0.09 0.07
 -------- 01:00 0.10 ---- 0.30 0.08 0.07
 -------- 02:00 0.10 ---- 0.30 0.09 0.07
 19.01.13 03:00 0.10 ---- 0.30 0.10 0.06
 -------- 04:00 0.10 ---- 0.31 0.12 0.06
 -------- 05:00 0.11 ---- 0.30 0.12 0.06
 -------- 06:00 0.11 ---- 0.32 0.16 0.07
 -------- 07:00 0.12 ---- 0.35 0.22 0.07
 19.01.13 08:00 0.13 ---- 0.37 0.27 0.08
 -------- 09:00 0.14 ---- 0.38 0.27 0.08
 -------- 10:00 0.14 ---- 0.37 0.26 0.08
