 Date Time CO OZ NO2 NO PM10
 27.09.12 12:00 0.09 0.09 0.25 0.07 0.12
 -------- 13:00 0.09 0.14 0.23 0.06 0.09
 -------- 14:00 0.06 0.15 0.22 0.04 0.08
 -------- 15:00 0.06 0.11 0.25 0.05 0.09
 -------- 16:00 0.07 0.09 0.27 0.04 0.09
 27.09.12 17:00 0.09 0.08 0.27 0.05 0.10
 -------- 18:00 0.11 0.03 0.31 0.07 0.11
 -------- 19:00 0.11 0.04 0.34 0.07 0.12
 -------- 20:00 0.12 ---- 0.36 0.09 0.12
 -------- 21:00 0.10 0.04 0.32 0.06 0.12
 27.09.12 22:00 0.09 0.04 0.30 0.04 0.10
 -------- 23:00 0.10 0.01 0.33 0.05 0.10
 -------- 00:00 0.10 0.03 0.32 0.03 0.09
 -------- 01:00 0.09 0.05 0.31 0.02 0.09
 -------- 02:00 0.08 0.13 0.27 0.01 0.10
 28.09.12 03:00 0.07 0.19 0.24 0.01 0.09
 -------- 04:00 0.06 0.34 0.17 0.01 0.10
 -------- 05:00 0.06 0.42 0.13 0.01 0.08
 -------- 06:00 0.05 0.38 0.15 0.00 0.07
 -------- 07:00 0.06 0.39 0.16 0.01 0.08
 28.09.12 08:00 0.07 0.41 0.17 0.01 0.08
 -------- 09:00 0.08 0.41 0.18 0.01 0.09
 -------- 10:00 0.08 0.37 0.20 0.01 0.11
 -------- 11:00 0.09 0.34 0.24 0.02 0.11
 -------- 12:00 0.07 0.53 0.30 0.01 0.10
 28.09.12 13:00 0.06 0.29 0.20 0.01 0.10
 -------- 14:00 0.06 0.32 0.15 0.01 0.11
 -------- 15:00 0.06 0.32 0.14 0.01 0.11
 -------- 16:00 0.06 0.27 0.21 0.01 0.09
 -------- 17:00 0.06 0.32 0.17 0.00 0.08
 28.09.12 18:00 0.07 0.27 0.22 0.00 0.09
 -------- 19:00 0.10 0.14 0.36 0.01 0.12
 -------- 20:00 0.09 0.13 0.37 0.01 0.12
 -------- 21:00 0.05 0.28 0.18 0.00 0.14
 -------- 22:00 0.05 0.21 0.12 0.00 0.06
 28.09.12 23:00 0.05 0.19 0.15 0.00 0.03
 -------- 00:00 0.04 0.17 0.12 0.00 0.02
 -------- 01:00 0.04 0.14 0.12 0.00 0.02
 -------- 02:00 0.04 0.12 0.13 0.00 0.02
 -------- 03:00 0.04 0.15 0.10 0.01 0.02
 29.09.12 04:00 0.04 0.14 0.09 0.01 0.02
 -------- 05:00 0.04 0.11 0.13 0.00 0.02
 -------- 06:00 0.04 0.08 0.15 0.00 0.03
 -------- 07:00 0.05 0.06 0.17 0.01 0.03
 -------- 08:00 0.05 0.06 0.18 0.01 0.04
 29.09.12 09:00 0.04 0.10 0.13 0.01 0.04
 -------- 10:00 0.04 0.12 0.12 0.01 0.03
 -------- 11:00 0.05 0.15 0.10 0.01 0.03
