 Date Time CO OZ NO2 NO PM10
 17.04.13 12:00 0.05 0.33 0.17 0.01 0.13
 -------- 13:00 0.05 0.37 0.12 0.01 0.11
 -------- 14:00 0.04 0.40 0.10 0.01 0.10
 -------- 15:00 0.04 0.42 0.11 0.01 0.10
 -------- 16:00 0.04 0.44 0.11 0.00 0.12
 17.04.13 17:00 0.04 0.45 0.13 0.00 0.13
 -------- 18:00 0.05 0.43 0.17 0.01 0.20
 -------- 19:00 0.06 0.41 0.18 0.00 0.17
 -------- 20:00 0.07 0.36 0.22 0.00 0.17
 -------- 21:00 0.09 0.25 0.36 0.00 0.21
 17.04.13 22:00 0.11 0.18 0.48 0.01 0.23
 -------- 23:00 0.09 0.20 0.48 0.00 0.21
 -------- 00:00 0.08 0.24 0.42 0.00 0.16
 -------- 01:00 0.08 0.26 0.38 0.00 0.17
 -------- 02:00 0.06 0.33 0.27 0.00 0.13
 18.04.13 03:00 0.06 0.32 0.25 0.00 0.11
 -------- 04:00 0.06 0.31 0.27 0.01 0.11
 -------- 05:00 0.05 0.33 0.23 0.00 0.09
 -------- 06:00 0.05 0.29 0.30 0.01 0.10
 -------- 07:00 0.07 0.21 0.40 0.01 0.14
 18.04.13 08:00 0.09 0.18 0.45 0.03 0.24
 -------- 09:00 0.07 0.28 0.32 0.01 0.20
 -------- 10:00 0.06 0.34 0.25 0.01 0.17
 -------- 11:00 0.06 0.33 0.24 0.01 0.15
 -------- 12:00 0.06 0.33 0.23 0.02 0.16
 18.04.13 13:00 0.07 ---- 0.21 0.01 0.19
 -------- 14:00 0.05 ---- 0.14 0.01 0.17
 -------- 15:00 0.04 ---- 0.11 0.01 0.18
 -------- 16:00 0.04 ---- 0.12 0.01 0.17
 -------- 17:00 0.04 ---- 0.11 0.01 0.18
 18.04.13 18:00 0.05 ---- 0.12 0.01 0.14
 -------- 19:00 0.06 ---- 0.18 0.01 0.13
 -------- 20:00 0.07 ---- 0.21 0.00 0.14
 -------- 21:00 0.09 ---- 0.34 0.01 0.18
 -------- 22:00 0.15 ---- 0.62 0.05 0.28
 18.04.13 23:00 0.17 ---- 0.66 0.09 0.31
 -------- 00:00 0.11 ---- 0.63 0.02 0.20
 -------- 01:00 0.12 ---- 0.68 0.04 0.21
 -------- 02:00 0.08 ---- 0.49 0.01 0.14
 -------- 03:00 0.06 ---- 0.35 0.00 0.12
 19.04.13 04:00 0.06 ---- 0.29 0.00 0.10
 -------- 05:00 0.06 ---- 0.27 0.00 0.10
 -------- 06:00 0.06 ---- 0.27 0.00 0.10
 -------- 07:00 0.06 ---- 0.35 0.01 0.13
 -------- 08:00 0.08 ---- 0.38 0.02 0.17
 19.04.13 09:00 0.08 ---- 0.39 0.03 0.24
 -------- 10:00 0.08 ---- 0.38 0.03 0.22
 -------- 11:00 0.07 ---- 0.26 0.02 0.22
