 Date Time CO OZ NO2 NO PM10
 30.01.13 00:00 0.08 ---- 0.38 0.07 0.06
 -------- 01:00 0.08 ---- 0.38 0.10 0.06
 -------- 02:00 0.07 ---- 0.37 0.08 0.06
 -------- 03:00 0.06 0.01 0.34 0.03 0.06
 -------- 04:00 0.06 ---- 0.36 0.06 0.06
 30.01.13 05:00 0.06 ---- 0.36 0.08 0.06
 -------- 06:00 0.07 ---- 0.36 0.09 0.07
 -------- 07:00 0.08 ---- 0.35 0.07 0.10
 -------- 08:00 0.09 ---- 0.35 0.10 0.11
 -------- 09:00 0.11 ---- 0.35 0.14 0.12
 30.01.13 10:00 0.12 ---- 0.34 0.14 0.12
 -------- 11:00 0.12 ---- 0.33 0.15 0.14
 -------- 12:00 0.12 ---- 0.33 0.17 0.15
 -------- 13:00 0.12 ---- 0.35 0.19 0.14
 -------- 14:00 0.12 ---- 0.35 0.18 0.12
 30.01.13 15:00 0.12 ---- 0.35 0.17 0.11
 -------- 16:00 0.13 ---- 0.37 0.17 0.10
 -------- 17:00 0.13 ---- 0.38 0.17 0.10
 -------- 18:00 0.13 ---- 0.36 0.13 0.09
 -------- 19:00 0.13 ---- 0.36 0.13 0.08
 30.01.13 20:00 0.11 ---- 0.36 0.09 0.07
 -------- 21:00 0.08 ---- 0.35 0.05 0.06
 -------- 22:00 0.11 0.01 0.36 0.05 0.07
 -------- 23:00 0.08 0.01 0.35 0.04 0.06
 -------- 00:00 0.07 0.01 0.34 0.04 0.05
 31.01.13 01:00 0.06 0.01 0.32 0.03 0.05
 -------- 02:00 0.06 0.04 0.28 0.02 0.04
 -------- 03:00 0.04 0.09 0.21 0.01 0.04
 -------- 04:00 0.04 0.07 0.23 0.01 0.04
 -------- 05:00 0.04 0.07 0.23 0.01 0.04
 31.01.13 06:00 0.05 0.04 0.26 0.01 0.04
 -------- 07:00 0.06 0.03 0.29 0.02 0.04
 -------- 08:00 0.08 ---- 0.32 0.05 0.05
 -------- 09:00 0.08 0.01 0.32 0.05 0.05
 -------- 10:00 0.08 0.01 0.30 0.06 0.05
 31.01.13 11:00 0.07 0.02 0.29 0.06 0.06
 -------- 12:00 0.08 0.03 0.28 0.06 0.05
 -------- 13:00 0.08 0.05 0.27 0.05 0.05
 -------- 14:00 0.06 0.07 0.27 0.05 0.05
 -------- 15:00 0.08 0.08 0.26 0.05 0.05
 31.01.13 16:00 0.07 0.09 0.26 0.03 0.05
 -------- 17:00 0.08 0.07 0.29 0.02 0.05
 -------- 18:00 0.07 0.08 0.29 0.02 0.05
 -------- 19:00 0.08 0.07 0.30 0.03 0.06
 -------- 20:00 0.08 0.07 0.28 0.02 0.06
 31.01.13 21:00 0.08 0.06 0.29 0.02 0.05
 -------- 22:00 0.08 0.05 0.29 0.02 0.06
 -------- 23:00 0.08 0.06 0.26 0.02 0.06
