 Date Time CO OZ NO2 NO PM10
 01.04.13 00:00 0.08 0.12 0.36 0.01 0.06
 -------- 01:00 0.09 0.05 0.44 0.02 0.06
 -------- 02:00 0.09 0.04 0.47 0.03 0.05
 -------- 03:00 0.08 0.08 0.35 0.00 0.05
 -------- 04:00 0.07 0.04 0.40 0.02 0.05
 01.04.13 05:00 0.07 0.07 0.33 0.01 0.05
 -------- 06:00 0.08 0.01 0.39 0.03 0.06
 -------- 07:00 0.08 0.02 0.39 0.03 0.05
 -------- 08:00 0.09 0.04 0.36 0.04 0.05
 -------- 09:00 0.09 0.05 0.35 0.04 0.05
 01.04.13 10:00 0.08 0.06 0.31 0.04 0.04
 -------- 11:00 0.07 0.09 0.25 0.03 0.02
 -------- 12:00 0.08 0.04 0.32 0.06 0.02
 -------- 13:00 0.07 0.07 0.29 0.05 0.03
 -------- 14:00 0.07 0.04 0.35 0.11 0.06
 01.04.13 15:00 0.08 0.01 0.39 0.15 0.08
 -------- 16:00 0.08 0.04 0.35 0.08 0.09
 -------- 17:00 0.08 0.05 0.32 0.04 0.09
 -------- 18:00 0.10 0.02 0.36 0.05 0.09
 -------- 19:00 0.12 0.01 0.38 0.07 0.08
 01.04.13 20:00 0.12 0.01 0.40 0.06 0.08
 -------- 21:00 0.12 ---- 0.42 0.07 0.09
 -------- 22:00 0.12 0.01 0.46 0.09 0.08
 -------- 23:00 0.14 ---- 0.50 0.13 0.08
 -------- 00:00 0.13 ---- 0.51 0.13 0.08
 02.04.13 01:00 0.11 0.01 0.47 0.06 0.08
 -------- 02:00 0.07 0.09 0.34 0.02 0.07
 -------- 03:00 0.04 0.19 0.18 0.01 0.07
 -------- 04:00 0.04 0.20 0.16 0.01 0.06
 -------- 05:00 0.04 0.17 0.18 0.00 0.05
 02.04.13 06:00 0.05 0.09 0.29 0.01 0.05
 -------- 07:00 0.07 0.06 0.32 0.01 0.04
 -------- 08:00 0.08 0.09 0.29 0.02 0.04
 -------- 09:00 0.08 0.11 0.27 0.03 0.04
 -------- 10:00 0.08 0.15 0.25 0.03 0.04
 02.04.13 11:00 0.08 0.22 0.20 0.02 0.03
 -------- 12:00 0.09 0.23 0.20 0.02 0.04
 -------- 13:00 0.08 0.23 0.21 0.02 0.04
 -------- 14:00 0.08 0.24 0.22 0.02 0.04
 -------- 15:00 0.08 0.22 0.24 0.02 0.05
 02.04.13 16:00 0.08 0.25 0.25 0.02 0.05
 -------- 17:00 0.09 0.28 0.23 0.02 0.05
 -------- 18:00 0.08 0.29 0.21 0.01 0.05
 -------- 19:00 0.08 0.23 0.29 0.06 0.05
 -------- 20:00 0.08 0.24 0.27 0.01 0.06
 02.04.13 21:00 0.08 0.29 0.20 0.01 0.05
 -------- 22:00 0.07 0.27 0.24 0.01 0.05
 -------- 23:00 0.07 0.23 0.27 0.01 0.05
