 Date Time CO NO2 NO PM10
 19.09.12 12:00 0.11 0.24 0.12 0.08
 -------- 13:00 0.08 0.22 0.08 0.07
 -------- 14:00 0.07 0.23 0.06 0.07
 -------- 15:00 0.07 0.24 0.05 0.08
 -------- 16:00 0.06 0.25 0.04 0.07
 19.09.12 17:00 0.07 0.25 0.04 0.08
 -------- 18:00 0.08 0.26 0.04 0.08
 -------- 19:00 0.10 0.31 0.05 0.09
 -------- 20:00 0.13 0.38 0.09 0.11
 -------- 21:00 0.15 0.40 0.13 0.12
 19.09.12 22:00 0.17 0.40 0.14 0.14
 -------- 23:00 0.14 0.36 0.12 0.13
 -------- 00:00 0.12 0.34 0.11 0.12
 -------- 01:00 0.11 0.32 0.10 0.12
 -------- 02:00 0.10 0.30 0.10 0.12
 20.09.12 03:00 0.10 0.30 0.12 0.11
 -------- 04:00 0.08 0.28 0.11 0.10
 -------- 05:00 0.08 0.28 0.12 0.11
 -------- 06:00 0.08 0.29 0.13 0.13
 -------- 07:00 0.11 0.30 0.16 0.12
 20.09.12 08:00 0.13 0.32 0.21 0.15
 -------- 09:00 0.18 0.32 0.23 0.17
 -------- 10:00 0.18 0.34 0.24 0.18
 -------- 11:00 0.15 0.36 0.17 0.17
 -------- 12:00 0.11 0.32 0.13 0.12
 20.09.12 13:00 0.09 0.26 0.10 0.08
 -------- 14:00 0.09 0.26 0.08 0.15
 -------- 15:00 0.08 0.26 0.06 0.09
 -------- 16:00 0.07 0.26 0.05 0.07
 -------- 17:00 0.06 0.25 0.03 0.06
 20.09.12 18:00 0.06 0.26 0.03 0.07
 -------- 19:00 0.09 0.30 0.04 0.09
 -------- 20:00 0.12 0.39 0.09 0.12
 -------- 21:00 0.15 0.41 0.17 0.13
 -------- 22:00 0.15 0.39 0.16 0.13
 20.09.12 23:00 0.12 0.38 0.12 0.10
 -------- 00:00 0.11 0.36 0.11 0.10
 -------- 01:00 0.10 0.33 0.10 0.09
 -------- 02:00 0.09 0.30 0.09 0.08
 -------- 03:00 0.09 0.31 0.10 0.10
 21.09.12 04:00 0.08 0.28 0.11 0.08
 -------- 05:00 0.08 0.29 0.11 0.09
 -------- 06:00 0.08 0.30 0.13 0.11
 -------- 07:00 0.11 0.31 0.17 0.12
 -------- 08:00 0.14 0.32 0.22 0.16
 21.09.12 09:00 0.17 0.30 0.25 0.20
 -------- 10:00 0.18 0.34 0.25 0.19
 -------- 11:00 0.20 0.37 0.27 0.19
