 Date Time CO OZ NO2 NO PM10
 03.03.13 12:00 0.08 0.10 0.36 0.08 0.07
 -------- 13:00 0.07 0.14 0.32 0.06 0.08
 -------- 14:00 0.06 0.21 0.21 0.03 0.04
 -------- 15:00 0.06 0.15 0.30 0.06 0.08
 -------- 16:00 0.06 0.14 0.31 0.05 0.07
 03.03.13 17:00 0.05 0.16 0.27 0.03 0.09
 -------- 18:00 0.05 0.17 0.27 0.02 0.09
 -------- 19:00 0.05 0.19 0.25 0.01 0.06
 -------- 20:00 0.06 0.19 0.25 0.01 0.05
 -------- 21:00 0.04 0.23 0.21 0.00 0.05
 03.03.13 22:00 0.04 0.25 0.18 0.00 0.05
 -------- 23:00 0.04 0.26 0.16 0.00 0.03
 -------- 00:00 0.04 0.24 0.18 0.00 0.03
 -------- 01:00 0.04 0.29 0.12 ---- 0.02
 -------- 02:00 0.03 0.29 0.11 0.00 0.03
 04.03.13 03:00 0.04 0.26 0.14 0.00 0.03
 -------- 04:00 0.04 0.28 0.13 0.00 0.03
 -------- 05:00 0.04 0.26 0.12 0.00 0.03
 -------- 06:00 0.04 0.23 0.17 0.00 0.03
 -------- 07:00 0.04 0.23 0.19 0.00 0.03
 04.03.13 08:00 0.06 0.20 0.21 0.01 0.03
 -------- 09:00 0.07 0.19 0.25 0.02 0.03
 -------- 10:00 0.06 0.23 0.21 0.02 0.04
 -------- 11:00 0.06 0.25 0.18 0.02 0.04
 -------- 12:00 0.06 0.25 0.18 0.02 0.04
 04.03.13 13:00 0.06 0.26 0.17 0.03 0.04
 -------- 14:00 0.06 0.29 0.14 0.02 0.03
 -------- 15:00 0.05 0.32 0.11 0.01 0.03
 -------- 16:00 0.04 0.32 0.11 0.01 0.03
 -------- 17:00 0.04 0.30 0.12 0.01 0.03
 04.03.13 18:00 0.05 0.25 0.15 0.01 0.03
 -------- 19:00 0.06 0.23 0.21 0.01 0.05
 -------- 20:00 0.06 0.23 0.20 0.01 0.04
 -------- 21:00 0.06 0.20 0.23 0.01 0.04
 -------- 22:00 0.05 0.19 0.22 0.01 0.04
 04.03.13 23:00 0.05 0.13 0.27 0.01 0.04
 -------- 00:00 0.06 0.10 0.29 0.01 0.04
 -------- 01:00 0.05 0.09 0.30 0.01 0.04
 -------- 02:00 0.04 0.12 0.27 0.00 0.04
 -------- 03:00 0.04 0.16 0.22 0.00 0.02
 05.03.13 04:00 0.04 0.11 0.27 0.00 0.03
 -------- 05:00 0.05 0.07 0.31 0.00 0.03
 -------- 06:00 0.06 0.04 0.39 0.03 0.04
 -------- 07:00 0.17 ---- 0.45 0.08 0.04
 -------- 08:00 0.13 ---- 0.49 0.19 0.05
 05.03.13 09:00 0.17 0.01 0.50 0.22 0.06
 -------- 10:00 0.19 0.02 0.52 0.30 0.08
 -------- 11:00 0.16 0.04 0.49 0.23 0.08
