 Date Time CO OZ NO2 NO PM10
 18.10.12 00:00 0.14 ---- 0.26 0.12 0.13
 -------- 01:00 0.13 ---- 0.25 0.11 0.11
 -------- 02:00 0.10 ---- 0.26 0.07 0.09
 -------- 03:00 0.10 ---- 0.25 0.10 0.09
 -------- 04:00 0.09 ---- 0.24 0.09 0.08
 18.10.12 05:00 0.08 ---- 0.21 0.07 0.07
 -------- 06:00 0.09 ---- 0.22 0.08 0.07
 -------- 07:00 0.13 ---- 0.23 0.15 0.07
 -------- 08:00 0.18 ---- 0.25 0.22 0.09
 -------- 09:00 0.21 ---- 0.25 0.24 0.09
 18.10.12 10:00 0.26 ---- 0.27 0.30 0.10
 -------- 11:00 0.22 ---- 0.26 0.28 0.09
 -------- 12:00 0.13 ---- 0.18 0.13 0.04
 -------- 13:00 0.07 0.01 0.14 0.05 0.01
 -------- 14:00 0.07 0.01 0.17 0.05 0.01
 18.10.12 15:00 0.08 ---- 0.20 0.09 0.03
 -------- 16:00 0.08 ---- 0.20 0.07 0.02
 -------- 17:00 0.10 ---- 0.21 0.07 0.03
 -------- 18:00 0.09 ---- 0.24 0.06 0.03
 -------- 19:00 0.08 0.01 0.27 0.02 0.03
 18.10.12 20:00 0.09 0.01 0.24 0.04 0.03
 -------- 21:00 0.08 0.01 0.21 0.04 0.03
 -------- 22:00 0.09 ---- 0.20 0.05 0.03
 -------- 23:00 0.07 ---- 0.18 0.03 0.02
 -------- 00:00 0.09 ---- 0.20 0.06 0.03
 19.10.12 01:00 0.06 ---- 0.19 0.03 0.02
 -------- 02:00 0.07 ---- 0.19 0.03 0.03
 -------- 03:00 0.07 ---- 0.20 0.05 0.03
 -------- 04:00 0.06 ---- 0.19 0.05 0.04
 -------- 05:00 0.07 ---- 0.19 0.06 0.03
 19.10.12 06:00 0.07 ---- 0.19 0.08 0.03
 -------- 07:00 0.10 ---- 0.20 0.16 0.04
 -------- 08:00 0.15 ---- 0.24 0.29 0.07
 -------- 09:00 0.21 ---- 0.26 0.35 0.09
 -------- 10:00 0.19 ---- 0.27 0.33 0.09
 19.10.12 11:00 0.12 ---- 0.24 0.18 0.05
 -------- 12:00 0.12 ---- 0.26 0.17 0.07
 -------- 13:00 0.14 ---- 0.26 0.19 0.09
 -------- 14:00 0.11 ---- 0.26 0.14 0.08
 -------- 15:00 0.11 ---- 0.26 0.11 0.08
 19.10.12 16:00 0.08 0.01 0.26 0.07 0.05
 -------- 17:00 0.09 0.01 0.26 0.06 0.04
 -------- 18:00 0.08 0.01 0.28 0.04 0.06
 -------- 19:00 0.08 0.01 0.28 0.03 0.05
 -------- 20:00 0.07 0.04 0.23 0.02 0.04
 19.10.12 21:00 0.06 0.04 0.21 0.02 0.04
 -------- 22:00 0.06 0.05 0.20 0.02 0.04
 -------- 23:00 0.06 0.05 0.19 0.02 0.04
