 Date Time CO OZ NO2 NO PM10
 08.04.13 00:00 0.04 0.24 0.22 0.00 0.05
 -------- 01:00 0.04 0.26 0.18 0.00 0.04
 -------- 02:00 0.04 0.25 0.17 ---- 0.03
 -------- 03:00 0.04 0.15 0.30 0.01 0.05
 -------- 04:00 0.08 ---- 0.52 0.09 0.09
 08.04.13 05:00 0.09 ---- 0.50 0.11 0.11
 -------- 06:00 0.11 ---- 0.47 0.10 0.08
 -------- 07:00 0.09 ---- 0.48 0.11 0.08
 -------- 08:00 0.15 0.01 0.55 0.25 0.14
 -------- 09:00 0.12 0.12 0.40 0.11 0.10
 08.04.13 10:00 0.09 0.15 0.37 0.05 0.11
 -------- 11:00 0.07 0.21 0.30 0.04 0.11
 -------- 12:00 0.06 0.24 0.27 0.04 0.08
 -------- 13:00 0.06 0.28 0.24 0.03 0.08
 -------- 14:00 0.06 0.30 0.21 0.02 0.06
 08.04.13 15:00 0.05 0.32 0.20 0.02 0.06
 -------- 16:00 0.04 0.38 0.14 0.01 0.06
 -------- 17:00 0.04 0.42 0.11 0.01 0.05
 -------- 18:00 0.04 0.43 0.12 0.01 0.05
 -------- 19:00 0.04 0.39 0.15 0.01 0.06
 08.04.13 20:00 0.06 0.34 0.21 0.01 0.08
 -------- 21:00 0.09 0.28 0.26 0.01 0.09
 -------- 22:00 0.10 0.11 0.45 0.01 0.13
 -------- 23:00 0.14 0.05 0.56 0.04 0.16
 -------- 00:00 0.18 ---- 0.64 0.18 0.27
 09.04.13 01:00 0.15 ---- 0.62 0.15 0.19
 -------- 02:00 0.14 ---- 0.65 0.21 0.19
 -------- 03:00 0.17 ---- 0.69 0.39 0.22
 -------- 04:00 0.19 ---- 0.71 0.45 0.22
 -------- 05:00 0.15 ---- 0.66 0.32 0.17
 09.04.13 06:00 0.11 ---- 0.61 0.24 0.16
 -------- 07:00 0.09 0.03 0.60 0.15 0.16
 -------- 08:00 0.09 0.07 0.51 0.06 0.15
 -------- 09:00 0.09 0.12 0.45 0.07 0.14
 -------- 10:00 0.18 0.12 0.48 0.09 0.16
 09.04.13 11:00 0.11 0.12 0.50 0.08 0.16
 -------- 12:00 0.10 0.12 0.50 0.07 0.19
 -------- 13:00 0.09 0.16 0.48 0.05 0.37
 -------- 14:00 0.08 0.17 0.46 0.05 0.21
 -------- 15:00 0.07 0.22 0.39 0.04 0.15
 09.04.13 16:00 0.08 0.20 0.43 0.03 0.13
 -------- 17:00 0.06 0.21 0.40 0.03 0.12
 -------- 18:00 0.07 0.21 0.41 0.02 0.11
 -------- 19:00 0.08 0.19 0.43 0.01 0.12
 -------- 20:00 0.09 0.15 0.48 0.01 0.14
 09.04.13 21:00 0.10 0.08 0.56 0.01 0.16
 -------- 22:00 0.11 0.03 0.63 0.03 0.17
 -------- 23:00 0.12 0.01 0.65 0.06 0.18
