 Date Time CO OZ NO2 NO PM10
 16.01.13 12:00 0.11 0.01 0.39 0.17 0.07
 -------- 13:00 0.13 ---- 0.40 0.21 0.08
 -------- 14:00 0.13 ---- 0.41 0.22 0.09
 -------- 15:00 0.14 ---- 0.42 0.23 0.10
 -------- 16:00 0.14 ---- 0.43 0.25 0.12
 16.01.13 17:00 0.14 ---- 0.45 0.30 0.12
 -------- 18:00 0.14 ---- 0.43 0.27 0.11
 -------- 19:00 0.13 ---- 0.39 0.19 0.10
 -------- 20:00 0.10 ---- 0.36 0.11 0.09
 -------- 21:00 0.10 ---- 0.34 0.09 0.09
 16.01.13 22:00 0.07 ---- 0.30 0.04 0.05
 -------- 23:00 0.07 ---- 0.31 0.04 0.06
 -------- 00:00 0.07 ---- 0.31 0.05 0.06
 -------- 01:00 0.07 ---- 0.30 0.03 0.05
 -------- 02:00 0.06 ---- 0.28 0.02 0.04
 17.01.13 03:00 0.06 0.02 0.26 0.01 0.05
 -------- 04:00 0.06 0.03 0.24 0.01 0.05
 -------- 05:00 0.06 0.04 0.22 0.01 0.05
 -------- 06:00 0.06 0.05 0.22 0.01 0.06
 -------- 07:00 0.06 0.05 0.22 0.01 0.07
 17.01.13 08:00 0.06 0.07 0.20 0.01 0.08
 -------- 09:00 0.06 0.05 0.21 0.01 0.06
 -------- 10:00 0.06 0.04 0.25 0.01 0.05
 -------- 11:00 0.06 0.05 0.24 0.02 0.05
 -------- 12:00 0.06 0.08 0.21 0.02 0.05
 17.01.13 13:00 0.06 0.10 0.18 0.02 0.05
 -------- 14:00 0.06 0.09 0.19 0.02 0.06
 -------- 15:00 0.06 0.07 0.21 0.02 0.07
 -------- 16:00 0.06 0.06 0.23 0.02 0.07
 -------- 17:00 0.06 0.06 0.23 0.02 0.05
 17.01.13 18:00 0.06 0.07 0.21 0.01 0.04
 -------- 19:00 0.06 0.06 0.22 0.01 0.04
 -------- 20:00 0.06 0.07 0.21 0.01 0.03
 -------- 21:00 0.06 0.09 0.19 0.01 0.03
 -------- 22:00 0.04 0.10 0.18 0.01 0.03
 17.01.13 23:00 0.04 0.09 0.19 0.01 0.03
 -------- 00:00 0.04 0.10 0.18 0.01 0.03
 -------- 01:00 0.04 0.10 0.18 0.01 0.03
 -------- 02:00 0.04 0.11 0.17 0.01 0.03
 -------- 03:00 0.04 0.12 0.16 0.01 0.03
 18.01.13 04:00 0.04 0.11 0.16 0.01 0.03
 -------- 05:00 0.04 0.09 0.19 0.01 0.02
 -------- 06:00 0.04 0.08 0.20 0.01 0.03
 -------- 07:00 0.06 0.07 0.21 0.01 0.03
 -------- 08:00 0.06 0.07 0.21 0.01 0.03
 18.01.13 09:00 0.06 0.06 0.21 0.01 0.04
 -------- 10:00 0.06 0.06 0.22 0.01 0.03
 -------- 11:00 0.07 0.05 0.23 0.03 0.04
