 Date Time CO OZ NO2 NO PM10 PM2.5
 07.03.13 00:00 0.07 0.27 0.26 0.00 0.06 ----
 -------- 01:00 0.06 0.31 0.23 0.00 0.05 ----
 -------- 02:00 0.05 0.36 0.17 ---- 0.05 ----
 -------- 03:00 0.04 0.38 0.16 0.01 0.05 ----
 -------- 04:00 0.04 0.35 0.18 0.00 0.05 ----
 07.03.13 05:00 0.04 0.36 0.19 0.00 0.06 ----
 -------- 06:00 0.04 0.41 0.14 0.00 0.06 ----
 -------- 07:00 0.05 0.38 0.16 ---- 0.06 ----
 -------- 08:00 0.06 0.34 0.21 0.00 0.06 ----
 -------- 09:00 0.06 0.32 0.21 0.01 0.05 ----
 07.03.13 10:00 0.06 0.29 0.20 0.01 0.04 ----
 -------- 11:00 0.04 0.29 0.15 0.02 0.03 ----
 -------- 12:00 0.04 0.29 0.14 0.02 0.03 ----
 -------- 13:00 0.04 0.30 0.13 0.02 0.03 ----
 -------- 14:00 0.04 0.33 0.11 0.02 0.03 ----
 07.03.13 15:00 0.04 0.33 0.12 0.02 0.05 ----
 -------- 16:00 0.05 0.34 0.10 0.01 0.02 ----
 -------- 17:00 0.04 0.31 0.13 0.01 0.05 ----
 -------- 18:00 0.06 0.27 0.18 0.01 0.03 ----
 -------- 19:00 0.04 0.25 0.19 0.01 0.03 ----
 07.03.13 20:00 0.04 0.26 0.15 0.00 0.03 ----
 -------- 21:00 0.04 0.23 0.17 0.00 0.03 ----
 -------- 22:00 0.07 0.08 0.35 0.02 0.06 ----
 -------- 23:00 0.05 0.15 0.26 0.01 0.04 ----
 -------- 00:00 0.06 0.10 0.32 0.02 0.05 ----
 08.03.13 01:00 0.06 0.08 0.34 0.01 0.05 ----
 -------- 02:00 0.05 0.11 0.30 0.01 0.04 ----
 -------- 03:00 0.04 0.18 0.21 0.00 0.03 ----
 -------- 04:00 0.04 0.19 0.20 0.01 0.02 ----
 -------- 05:00 0.04 0.19 0.20 0.00 0.02 ----
 08.03.13 06:00 0.04 0.23 0.15 0.00 0.03 ----
 -------- 07:00 0.04 0.25 0.12 ---- 0.02 ----
 -------- 08:00 0.04 0.27 0.09 0.00 0.01 ----
 -------- 09:00 0.04 0.30 0.07 0.00 0.03 ----
 -------- 10:00 0.04 0.28 0.10 0.01 0.03 ----
 08.03.13 11:00 0.04 0.27 0.10 0.01 0.03 ----
 -------- 12:00 0.04 0.27 0.11 0.02 0.03 ----
 -------- 13:00 0.04 0.28 0.09 0.01 0.03 ----
 -------- 14:00 0.04 0.28 0.10 0.01 0.03 ----
 -------- 15:00 0.05 0.27 0.10 0.02 0.04 ----
 08.03.13 16:00 0.04 0.27 0.11 0.01 0.03 ----
 -------- 17:00 0.04 0.26 0.12 0.01 0.03 ----
 -------- 18:00 0.04 0.24 0.14 0.01 0.03 ----
 -------- 19:00 0.04 0.23 0.16 0.00 0.04 ----
 -------- 20:00 0.05 0.22 0.17 0.00 0.04 ----
 08.03.13 21:00 0.06 0.12 0.27 0.01 0.04 ----
 -------- 22:00 0.07 0.07 0.35 0.01 0.05 ----
 -------- 23:00 0.08 0.04 0.39 0.02 0.04 ----
