 Date Time CO OZ NO2 NO PM10
 18.12.12 12:00 0.13 0.01 0.30 0.20 0.09
 -------- 13:00 0.15 0.01 0.30 0.21 0.09
 -------- 14:00 0.12 0.01 0.30 0.17 0.09
 -------- 15:00 0.13 0.01 0.33 0.18 0.09
 -------- 16:00 0.10 ---- 0.31 0.17 0.08
 18.12.12 17:00 0.09 0.01 0.30 0.08 0.08
 -------- 18:00 0.11 0.01 0.30 0.09 0.08
 -------- 19:00 0.09 0.01 0.28 0.06 0.06
 -------- 20:00 0.08 ---- 0.28 0.05 0.05
 -------- 21:00 0.08 ---- 0.28 0.06 0.05
 18.12.12 22:00 0.07 0.02 0.26 0.05 0.05
 -------- 23:00 0.06 0.02 0.24 0.03 0.04
 -------- 00:00 0.06 0.01 0.26 0.04 0.04
 -------- 01:00 0.06 ---- 0.27 0.04 0.03
 -------- 02:00 0.05 ---- 0.26 0.03 0.03
 19.12.12 03:00 0.05 0.01 0.26 0.04 0.03
 -------- 04:00 0.04 0.01 0.24 0.03 0.04
 -------- 05:00 0.04 ---- 0.25 0.03 0.05
 -------- 06:00 0.06 ---- 0.27 0.06 0.05
 -------- 07:00 0.06 ---- 0.27 0.07 0.05
 19.12.12 08:00 0.09 ---- 0.29 0.12 0.06
 -------- 09:00 0.10 ---- 0.30 0.14 0.06
 -------- 10:00 0.09 ---- 0.28 0.12 0.07
 -------- 11:00 0.09 0.02 0.24 0.08 0.07
 -------- 12:00 0.08 0.04 0.23 0.07 0.06
 19.12.12 13:00 0.09 0.04 0.23 0.07 0.06
 -------- 14:00 0.09 0.03 0.26 0.12 0.07
 -------- 15:00 0.15 0.01 0.33 0.19 0.09
 -------- 16:00 0.10 ---- 0.33 0.17 0.08
 -------- 17:00 0.08 ---- 0.33 0.10 0.07
 19.12.12 18:00 0.09 ---- 0.34 0.12 0.09
 -------- 19:00 0.10 ---- 0.37 0.19 0.09
 -------- 20:00 0.10 ---- 0.37 0.18 0.08
 -------- 21:00 0.10 ---- 0.37 0.15 0.08
 -------- 22:00 0.10 ---- 0.36 0.15 0.07
 19.12.12 23:00 0.10 ---- 0.35 0.12 0.06
 -------- 00:00 0.09 ---- 0.35 0.12 0.06
 -------- 01:00 0.08 ---- 0.34 0.10 0.06
 -------- 02:00 0.08 ---- 0.34 0.09 0.06
 -------- 03:00 0.08 ---- 0.33 0.08 0.06
 20.12.12 04:00 0.07 ---- 0.33 0.08 0.06
 -------- 05:00 0.06 ---- 0.32 0.07 0.06
 -------- 06:00 0.07 ---- 0.33 0.09 0.06
 -------- 07:00 0.09 ---- 0.34 0.14 0.07
 -------- 08:00 0.09 ---- 0.37 0.20 0.07
 20.12.12 09:00 0.12 ---- 0.39 0.27 0.08
 -------- 10:00 0.13 ---- 0.39 0.33 0.08
 -------- 11:00 0.12 0.01 0.37 0.25 0.09
