 Date Time CO OZ NO2 NO PM10
 19.12.12 00:00 0.06 ---- 0.27 0.04 0.04
 -------- 01:00 0.06 ---- 0.27 0.04 0.03
 -------- 02:00 0.05 ---- 0.26 0.03 0.03
 -------- 03:00 0.05 0.01 0.26 0.04 0.03
 -------- 04:00 0.04 0.01 0.24 0.03 0.04
 19.12.12 05:00 0.04 ---- 0.25 0.03 0.05
 -------- 06:00 0.06 ---- 0.27 0.06 0.05
 -------- 07:00 0.06 ---- 0.27 0.07 0.05
 -------- 08:00 0.09 ---- 0.29 0.12 0.06
 -------- 09:00 0.10 ---- 0.30 0.14 0.06
 19.12.12 10:00 0.09 ---- 0.28 0.12 0.07
 -------- 11:00 0.09 0.02 0.24 0.08 0.07
 -------- 12:00 0.08 0.04 0.23 0.07 0.06
 -------- 13:00 0.09 0.04 0.23 0.07 0.06
 -------- 14:00 0.09 0.03 0.26 0.12 0.07
 19.12.12 15:00 0.15 0.01 0.33 0.19 0.09
 -------- 16:00 0.10 ---- 0.33 0.17 0.08
 -------- 17:00 0.08 ---- 0.33 0.10 0.07
 -------- 18:00 0.09 ---- 0.34 0.12 0.09
 -------- 19:00 0.10 ---- 0.37 0.19 0.09
 19.12.12 20:00 0.10 ---- 0.37 0.18 0.08
 -------- 21:00 0.10 ---- 0.37 0.15 0.08
 -------- 22:00 0.10 ---- 0.36 0.15 0.07
 -------- 23:00 0.10 ---- 0.35 0.12 0.06
 -------- 00:00 0.09 ---- 0.35 0.12 0.06
 20.12.12 01:00 0.08 ---- 0.34 0.10 0.06
 -------- 02:00 0.08 ---- 0.34 0.09 0.06
 -------- 03:00 0.08 ---- 0.33 0.08 0.06
 -------- 04:00 0.07 ---- 0.33 0.08 0.06
 -------- 05:00 0.06 ---- 0.32 0.07 0.06
 20.12.12 06:00 0.07 ---- 0.33 0.09 0.06
 -------- 07:00 0.09 ---- 0.34 0.14 0.07
 -------- 08:00 0.09 ---- 0.37 0.20 0.07
 -------- 09:00 0.12 ---- 0.39 0.27 0.08
 -------- 10:00 0.13 ---- 0.39 0.33 0.08
 20.12.12 11:00 0.12 0.01 0.37 0.25 0.09
 -------- 12:00 0.13 0.01 0.38 0.24 0.10
 -------- 13:00 0.15 0.01 0.41 0.28 0.11
 -------- 14:00 0.19 ---- 0.50 0.50 0.14
 -------- 15:00 0.19 ---- 0.46 0.33 0.15
 20.12.12 16:00 0.16 ---- 0.42 0.25 0.13
 -------- 17:00 0.15 ---- 0.40 0.20 0.12
 -------- 18:00 0.15 ---- 0.40 0.20 0.10
 -------- 19:00 0.15 ---- 0.39 0.20 0.09
 -------- 20:00 0.12 ---- 0.35 0.11 0.07
 20.12.12 21:00 0.10 ---- 0.31 0.06 0.06
 -------- 22:00 0.10 ---- 0.32 0.07 0.06
 -------- 23:00 0.10 ---- 0.33 0.13 0.08
