 Date Time CO OZ NO2 NO PM10
 30.12.12 12:00 0.06 0.07 0.17 0.02 0.02
 -------- 13:00 0.06 0.07 0.19 0.02 0.02
 -------- 14:00 0.06 0.05 0.21 0.03 0.03
 -------- 15:00 0.07 0.04 0.24 0.04 0.03
 -------- 16:00 0.08 0.02 0.26 0.03 0.03
 30.12.12 17:00 0.07 0.02 0.28 0.03 0.03
 -------- 18:00 0.09 ---- 0.29 0.04 0.03
 -------- 19:00 0.08 ---- 0.28 0.04 0.03
 -------- 20:00 0.08 ---- 0.29 0.05 0.04
 -------- 21:00 0.08 ---- 0.29 0.06 0.03
 30.12.12 22:00 0.10 ---- 0.29 0.08 0.04
 -------- 23:00 0.11 ---- 0.30 0.13 0.05
 -------- 00:00 0.12 ---- 0.32 0.20 0.05
 -------- 01:00 0.12 ---- 0.34 0.27 0.05
 -------- 02:00 0.13 ---- 0.36 0.32 0.07
 31.12.12 03:00 0.13 ---- 0.35 0.29 0.06
 -------- 04:00 0.13 ---- 0.34 0.25 0.06
 -------- 05:00 0.09 ---- 0.29 0.11 0.04
 -------- 06:00 0.08 ---- 0.26 0.07 0.04
 -------- 07:00 0.06 ---- 0.24 0.05 0.03
 31.12.12 08:00 0.07 ---- 0.24 0.05 0.03
 -------- 09:00 0.06 ---- 0.23 0.04 0.04
 -------- 10:00 0.06 0.01 0.24 0.06 0.04
 -------- 11:00 0.07 0.01 0.23 0.05 0.02
 -------- 12:00 0.07 0.02 0.22 0.04 0.03
 31.12.12 13:00 0.08 0.01 0.24 0.06 0.04
 -------- 14:00 0.09 0.02 0.23 0.06 0.04
 -------- 15:00 0.08 0.01 0.24 0.04 0.05
 -------- 16:00 0.08 0.01 0.26 0.06 0.05
 -------- 17:00 0.09 ---- 0.27 0.05 0.04
 31.12.12 18:00 0.07 0.03 0.23 0.01 0.04
 -------- 19:00 0.06 0.03 0.22 0.01 0.04
 -------- 20:00 0.07 0.01 0.25 0.02 0.05
 -------- 21:00 0.08 ---- 0.27 0.04 0.06
 -------- 22:00 0.08 0.01 0.26 0.03 0.06
 31.12.12 23:00 0.08 0.01 0.24 0.03 0.06
 -------- 00:00 0.08 0.01 0.22 0.03 0.07
 -------- 01:00 0.08 0.01 0.24 0.03 0.13
 -------- 02:00 0.08 0.01 0.23 0.02 0.15
 -------- 03:00 0.10 0.03 0.22 0.02 0.12
 01.01.13 04:00 0.07 0.03 0.21 0.01 0.09
 -------- 05:00 0.07 0.06 0.19 0.01 0.08
 -------- 06:00 0.07 0.07 0.17 0.01 0.06
 -------- 07:00 0.06 0.08 0.17 0.01 0.05
 -------- 08:00 0.07 0.05 0.19 0.01 0.05
 01.01.13 09:00 0.08 0.01 0.25 0.01 0.06
 -------- 10:00 0.06 0.03 0.22 0.01 0.05
 -------- 11:00 0.06 0.06 0.19 0.01 0.05
