 Date Time CO OZ NO2 NO PM10
 27.02.13 12:00 0.06 0.16 0.27 0.02 0.05
 -------- 13:00 0.06 0.17 0.24 0.02 0.04
 -------- 14:00 0.07 0.17 0.21 0.01 0.03
 -------- 15:00 0.06 0.16 0.23 0.02 0.04
 -------- 16:00 0.05 0.16 0.24 0.01 0.03
 27.02.13 17:00 0.07 0.17 0.24 0.02 0.02
 -------- 18:00 0.07 0.17 0.26 0.01 0.02
 -------- 19:00 0.06 0.17 0.25 0.01 0.02
 -------- 20:00 0.07 0.16 0.26 0.01 0.04
 -------- 21:00 0.07 0.15 0.26 0.01 0.04
 27.02.13 22:00 0.07 0.16 0.25 0.01 0.06
 -------- 23:00 0.09 0.03 0.41 0.02 0.12
 -------- 00:00 0.11 ---- 0.49 0.08 0.14
 -------- 01:00 0.07 0.06 0.35 0.02 0.11
 -------- 02:00 0.06 0.09 0.29 0.01 0.05
 28.02.13 03:00 0.05 0.15 0.21 0.01 0.04
 -------- 04:00 0.04 0.17 0.19 0.00 0.02
 -------- 05:00 0.04 0.22 0.14 0.00 0.03
 -------- 06:00 0.04 0.23 0.12 0.00 0.01
 -------- 07:00 0.04 0.22 0.14 0.00 0.01
 28.02.13 08:00 0.05 0.21 0.15 0.01 0.02
 -------- 09:00 0.06 0.21 0.15 0.01 0.02
 -------- 10:00 0.06 0.18 0.19 0.01 0.03
 -------- 11:00 0.06 0.18 0.20 0.01 0.02
 -------- 12:00 0.06 0.16 0.24 0.02 0.02
 28.02.13 13:00 0.06 0.17 0.23 0.01 0.02
 -------- 14:00 0.06 0.16 0.23 0.02 0.03
 -------- 15:00 0.06 0.17 0.22 0.02 0.03
 -------- 16:00 0.06 0.18 0.23 0.02 0.03
 -------- 17:00 0.05 0.17 0.23 0.01 0.03
 28.02.13 18:00 0.07 0.11 0.33 0.02 0.03
 -------- 19:00 0.06 0.15 0.28 0.01 0.03
 -------- 20:00 0.07 0.10 0.34 0.01 0.04
 -------- 21:00 0.10 0.16 0.24 0.01 0.21
 -------- 22:00 0.07 0.10 0.29 0.01 0.08
 28.02.13 23:00 0.07 0.05 0.35 0.01 0.04
 -------- 00:00 0.05 0.14 0.27 0.01 0.02
 -------- 01:00 0.04 0.19 0.20 0.01 0.01
 -------- 02:00 0.04 0.16 0.22 0.01 0.02
 -------- 03:00 0.04 0.11 0.27 0.01 0.02
 01.03.13 04:00 0.04 0.17 0.20 0.00 0.02
 -------- 05:00 0.04 0.19 0.17 0.00 0.02
 -------- 06:00 0.04 0.17 0.21 0.00 0.02
 -------- 07:00 0.05 0.14 0.25 0.00 0.03
 -------- 08:00 0.06 0.10 0.31 0.01 0.03
 01.03.13 09:00 0.07 0.09 0.30 0.02 0.03
 -------- 10:00 0.06 0.13 0.26 0.02 0.02
 -------- 11:00 0.07 0.14 0.25 0.02 0.03
