 Date Time CO OZ NO2 NO PM10
 15.04.13 12:00 0.09 0.27 0.37 0.03 0.20
 -------- 13:00 0.10 0.20 0.49 0.05 0.25
 -------- 14:00 0.10 0.21 0.50 0.05 0.23
 -------- 15:00 0.07 0.32 0.34 0.02 0.18
 -------- 16:00 0.06 0.38 0.26 0.02 0.14
 15.04.13 17:00 0.06 0.38 0.25 0.01 0.13
 -------- 18:00 0.06 0.39 0.25 0.01 0.13
 -------- 19:00 0.07 0.41 0.25 0.00 0.14
 -------- 20:00 0.09 0.35 0.32 0.00 0.18
 -------- 21:00 0.12 0.21 0.49 0.01 0.26
 15.04.13 22:00 0.14 0.08 0.69 0.01 0.29
 -------- 23:00 0.13 0.06 0.69 0.02 0.26
 -------- 00:00 0.19 0.02 0.75 0.07 0.31
 -------- 01:00 0.10 0.18 0.51 0.00 0.18
 -------- 02:00 0.08 0.21 0.45 0.01 0.13
 16.04.13 03:00 0.07 0.19 0.46 0.00 0.15
 -------- 04:00 0.06 0.22 0.39 0.00 0.13
 -------- 05:00 0.06 0.19 0.41 0.00 0.13
 -------- 06:00 0.07 0.05 0.60 0.02 0.19
 -------- 07:00 0.10 0.02 0.67 0.07 0.18
 16.04.13 08:00 0.12 0.06 0.66 0.09 0.25
 -------- 09:00 0.11 0.10 0.61 0.07 0.27
 -------- 10:00 0.11 0.12 0.59 0.07 0.29
 -------- 11:00 0.09 0.23 0.43 0.04 0.24
 -------- 12:00 0.06 0.32 0.27 0.02 0.18
 16.04.13 13:00 0.06 0.39 0.15 0.01 0.14
 -------- 14:00 0.05 0.42 0.12 0.01 0.13
 -------- 15:00 0.04 0.45 0.12 0.01 0.13
 -------- 16:00 0.05 0.46 0.12 0.01 0.12
 -------- 17:00 0.05 0.44 0.12 0.01 0.12
 16.04.13 18:00 0.04 0.43 0.13 0.01 0.12
 -------- 19:00 0.05 0.40 0.15 0.00 0.12
 -------- 20:00 0.07 0.33 0.23 0.00 0.16
 -------- 21:00 0.09 0.23 0.31 0.00 0.19
 -------- 22:00 0.09 0.21 0.34 0.00 0.19
 16.04.13 23:00 0.11 0.07 0.51 0.01 0.22
 -------- 00:00 0.11 0.05 0.56 0.01 0.22
 -------- 01:00 0.08 0.13 0.40 0.00 0.16
 -------- 02:00 0.08 0.13 0.40 0.02 0.14
 -------- 03:00 0.07 0.16 0.32 0.00 0.12
 17.04.13 04:00 0.07 0.11 0.40 0.01 0.12
 -------- 05:00 0.08 0.05 0.45 0.00 0.12
 -------- 06:00 0.09 0.04 0.45 0.01 0.12
 -------- 07:00 0.12 0.01 0.52 0.07 0.15
 -------- 08:00 0.15 0.01 0.56 0.14 0.18
 17.04.13 09:00 0.15 0.03 0.58 0.16 0.26
 -------- 10:00 0.15 0.05 0.57 0.15 0.29
 -------- 11:00 0.12 0.24 0.26 0.02 0.15
