 Date Time CO NO2 NO PM10
 19.09.12 00:00 0.10 0.30 0.11 0.07
 -------- 01:00 0.10 0.29 0.12 0.06
 -------- 02:00 0.11 0.29 0.14 0.06
 -------- 03:00 0.13 0.30 0.21 0.08
 -------- 04:00 0.13 0.29 0.26 0.07
 19.09.12 05:00 0.10 0.28 0.25 0.07
 -------- 06:00 0.12 0.29 0.29 0.15
 -------- 07:00 0.13 0.29 0.28 0.16
 -------- 08:00 0.16 0.30 0.28 0.14
 -------- 09:00 0.22 0.31 0.30 0.17
 19.09.12 10:00 0.19 0.32 0.27 0.17
 -------- 11:00 0.15 0.32 0.20 0.14
 -------- 12:00 0.11 0.25 0.13 0.09
 -------- 13:00 0.08 0.22 0.08 0.07
 -------- 14:00 0.07 0.23 0.06 0.07
 19.09.12 15:00 0.07 0.24 0.05 0.08
 -------- 16:00 0.06 0.25 0.04 0.07
 -------- 17:00 0.07 0.25 0.04 0.08
 -------- 18:00 0.08 0.26 0.04 0.08
 -------- 19:00 0.10 0.31 0.05 0.09
 19.09.12 20:00 0.13 0.38 0.09 0.11
 -------- 21:00 0.15 0.40 0.13 0.12
 -------- 22:00 0.17 0.40 0.14 0.14
 -------- 23:00 0.14 0.36 0.12 0.13
 -------- 00:00 0.12 0.34 0.11 0.12
 20.09.12 01:00 0.11 0.32 0.10 0.12
 -------- 02:00 0.10 0.30 0.10 0.12
 -------- 03:00 0.10 0.30 0.12 0.11
 -------- 04:00 0.08 0.28 0.11 0.10
 -------- 05:00 0.08 0.28 0.12 0.11
 20.09.12 06:00 0.08 0.29 0.13 0.13
 -------- 07:00 0.11 0.30 0.16 0.12
 -------- 08:00 0.13 0.32 0.21 0.15
 -------- 09:00 0.18 0.32 0.23 0.17
 -------- 10:00 0.18 0.34 0.24 0.18
 20.09.12 11:00 0.15 0.36 0.17 0.17
 -------- 12:00 0.11 0.32 0.13 0.12
 -------- 13:00 0.09 0.26 0.10 0.08
 -------- 14:00 0.09 0.26 0.08 0.15
 -------- 15:00 0.08 0.26 0.06 0.09
 20.09.12 16:00 0.07 0.26 0.05 0.07
 -------- 17:00 0.06 0.25 0.03 0.06
 -------- 18:00 0.06 0.26 0.03 0.07
 -------- 19:00 0.09 0.30 0.04 0.09
 -------- 20:00 0.12 0.39 0.09 0.12
 20.09.12 21:00 0.15 0.41 0.17 0.13
 -------- 22:00 0.15 0.39 0.16 0.13
 -------- 23:00 0.12 0.38 0.12 0.10
