 Date Time CO OZ NO2 NO PM10
 26.11.12 12:00 0.08 ---- 0.18 0.10 0.07
 -------- 13:00 0.09 ---- 0.17 0.10 0.07
 -------- 14:00 0.09 ---- 0.18 0.13 0.08
 -------- 15:00 0.09 ---- 0.17 0.13 0.08
 -------- 16:00 0.10 ---- 0.17 0.13 0.08
 26.11.12 17:00 0.08 ---- 0.15 0.10 0.05
 -------- 18:00 0.08 ---- 0.16 0.09 0.04
 -------- 19:00 0.08 ---- 0.14 0.06 0.04
 -------- 20:00 0.08 ---- 0.13 0.06 0.05
 -------- 21:00 0.07 ---- 0.12 0.05 0.05
 26.11.12 22:00 0.06 ---- 0.12 0.04 0.04
 -------- 23:00 0.07 ---- 0.12 0.05 0.04
 -------- 00:00 0.06 ---- 0.11 0.03 0.04
 -------- 01:00 0.04 ---- 0.11 0.02 0.04
 -------- 02:00 0.04 ---- 0.11 0.02 0.04
 27.11.12 03:00 0.05 ---- 0.12 0.03 0.04
 -------- 04:00 0.05 0.01 0.10 0.01 0.03
 -------- 05:00 0.04 0.01 0.08 0.01 0.02
 -------- 06:00 0.05 0.01 0.10 0.01 0.02
 -------- 07:00 0.07 0.03 0.13 0.02 0.02
 27.11.12 08:00 0.08 ---- 0.15 0.07 0.03
 -------- 09:00 0.10 ---- 0.15 0.09 0.04
 -------- 10:00 0.09 ---- 0.14 0.06 0.04
 -------- 11:00 0.08 ---- 0.13 0.07 0.04
 -------- 12:00 0.09 0.01 0.14 0.08 0.04
 27.11.12 13:00 0.09 ---- 0.15 0.08 0.05
 -------- 14:00 0.08 0.01 0.17 0.07 0.05
 -------- 15:00 0.08 ---- 0.16 0.06 0.04
 -------- 16:00 0.08 ---- 0.17 0.07 0.05
 -------- 17:00 0.08 0.01 0.16 0.06 0.05
 27.11.12 18:00 0.07 0.02 0.13 0.02 0.03
 -------- 19:00 0.06 0.02 0.14 0.02 0.03
 -------- 20:00 0.07 0.01 0.16 0.03 0.03
 -------- 21:00 0.08 ---- 0.20 0.05 0.04
 -------- 22:00 0.09 ---- 0.19 0.05 0.05
 27.11.12 23:00 0.07 ---- 0.19 0.04 0.04
 -------- 00:00 0.07 ---- 0.18 0.05 0.05
 -------- 01:00 0.06 ---- 0.18 0.05 0.04
 -------- 02:00 0.06 ---- 0.18 0.04 0.04
 -------- 03:00 0.05 ---- 0.17 0.03 0.04
 28.11.12 04:00 0.05 ---- 0.16 0.02 0.03
 -------- 05:00 0.06 ---- 0.17 0.04 0.04
 -------- 06:00 0.08 ---- 0.19 0.11 0.04
 -------- 07:00 0.09 ---- 0.21 0.12 0.05
 -------- 08:00 0.11 ---- 0.21 0.15 0.06
 28.11.12 09:00 0.11 ---- 0.20 0.18 0.09
 -------- 10:00 0.10 ---- 0.19 0.13 0.09
 -------- 11:00 0.09 ---- 0.20 0.15 0.09
