 Date Time CO OZ NO2 NO PM10
 08.12.12 12:00 0.10 ---- 0.20 0.16 0.07
 -------- 13:00 0.11 ---- 0.23 0.20 0.09
 -------- 14:00 0.12 ---- 0.22 0.19 0.10
 -------- 15:00 0.10 ---- 0.21 0.17 0.10
 -------- 16:00 0.10 ---- 0.21 0.16 0.11
 08.12.12 17:00 0.11 ---- 0.22 0.19 0.12
 -------- 18:00 0.11 ---- 0.21 0.17 0.10
 -------- 19:00 0.08 ---- 0.20 0.15 0.08
 -------- 20:00 0.10 ---- 0.21 0.18 0.08
 -------- 21:00 0.10 ---- 0.20 0.16 0.10
 08.12.12 22:00 0.08 ---- 0.19 0.13 0.09
 -------- 23:00 0.10 ---- 0.22 0.19 0.09
